"","x"
"319","STAT5A"
"320","EIF4G1"
"321","KCNH2"
"322","FASN"
"323","CAVIN1"
"324","GLUL"
"325","GATA2"
"326","GSE1"
"327","KHSRP"
"328","MYC"
"329","SPN"
"330","ACTG1"
"331","MSN"
"332","STOM"
"333","PLXNA1"
"334","STARD8"
"335","PTBP1"
"336","TMSB4X"
"337","TUFM"
"338","NOC2L"
"339","KIFC3"
"340","CBFA2T3"
"341","RCC2"
"342","COTL1"
"343","HDAC7"
"344","ABHD2"
"345","KIF21B"
"346","SCD"
"347","FLNA"
"348","PABPC4"
"349","ARHGAP6"
"350","FERMT3"
"351","JAG2"
"352","USP20"
"353","ESYT1"
"354","HSPG2"
"355","PRKCB"
"356","CCDC85B"
"357","KRT10"
"358","FAM173A"
"359","SREBF1"
"360","EGFL7"
"361","GPI"
"362","INSIG1"
"363","ADGRV1"
"364","MYADM"
"365","SLC7A5"
"366","FADS2"
"367","PNKD"
"368","PDGFB"
"369","ACSM3"
"370","FADS3"
"371","KLHL17"
"372","JUND"
"373","FBXL19"
"374","BRI3BP"
"375","HNRNPD"
"376","VASP"
"377","FKBP4"
"378","SLC25A22"
"379","PPARGC1B"
"380","SLC6A6"
"381","CMBL"
"382","UAP1"
"383","CAPN15"
"384","TNFRSF8"
"385","MKNK2"
"386","EPHB6"
"387","PLP2"
"388","DOCK11"
"389","ERF"
"390","NQO1"
"391","CFLAR"
"392","TCOF1"
"393","BHLHE40"
"394","MAP7"
"395","B4GALT1"
"396","MRPL41"
"397","TKT"
"398","NACC1"
"399","ITGB5"
"400","CTSH"
"401","RPA2"
"402","ARHGAP4"
"403","CMTM4"
"404","STAR"
"405","OPLAH"
"406","RDH10"
"407","ITGA5"
"408","ST6GAL1"
"409","MEF2C"
"410","SAMD4B"
"411","SETD1A"
"412","SLC39A14"
"413","LETM1"
"414","SCARB1"
"415","RAC3"
"416","ATP2A3"
"417","LMO2"
"418","IER2"
"419","METRN"
"420","ARHGEF2"
"421","GAL"
"422","HES6"
"423","CARM1"
"424","MICALL2"
"425","RREB1"
"426","UNC13D"
"427","GRPEL1"
"428","ATAD3B"
"429","FAM78A"
"430","TRPV2"
"431","CELF2"
"432","NOLC1"
"433","TTC7B"
"434","PDE4A"
"435","HCFC1"
"436","AHDC1"
"437","URB1"
"438","ATAD3A"
"439","ATP13A2"
"440","KIF1C"
"441","IMP4"
"442","MAP3K5"
"443","IGF2BP1"
"444","POLRMT"
"445","THAP4"
"446","H1FX"
"447","NR2F6"
"448","MACF1"
"449","ERCC2"
"450","MCAM"
"451","ZMYND19"
"452","CHST2"
"453","IMPDH1"
"454","PPP1R26"
"455","MYBBP1A"
"456","NACC2"
"457","UBE2M"
"458","TRMT1"
"459","TPST2"
"460","ANGPT1"
"461","FHOD1"
"462","GIT1"
"463","EEF1A2"
"464","RNF44"
"465","MDN1"
"466","ELMSAN1"
"467","NEU3"
"468","TMSB10"
"469","SUSD6"
"470","VEGFA"
"471","DHX37"
"472","ZNF385A"
"473","LRFN4"
"474","POLR3G"
"475","FLNB"
"476","MRAS"
"477","LMNB2"
"478","ARHGDIA"
"479","PTPN18"
"480","NPM3"
"481","FRAT2"
"482","MAN1A1"
"483","RHOG"
"484","KAZN"
"485","TWNK"
"486","SH3PXD2A"
"487","SH2B3"
"488","IFITM3"
"489","TNRC18"
"490","SETD1B"
"491","CCDC124"
"492","DHX34"
"493","RAP2B"
"494","ZYX"
"495","YBX3"
"496","SLC25A1"
"497","CMIP"
"498","SLC8B1"
"499","MFSD10"
"500","SPTBN1"
"501","MED14"
"502","FOXL2"
"503","POLR3K"
"504","COASY"
"505","KMT2D"
"506","PLIN3"
"507","GABRE"
"508","NELFA"
"509","EXOSC4"
"510","ZMIZ1"
"511","SEPT9"
"512","TULP4"
"513","TAF4B"
"514","RCC1"
"515","ALDOA"
"516","TRAM2"
"517","C10orf128"
"518","PRELID1"
"519","SLC9A3R1"
"520","REXO4"
"521","ARHGAP25"
"522","HAGHL"
"523","CTXN1"
"524","PER1"
"525","PRKAR2A"
"526","SNAPC2"
"527","ZNF595"
"528","IQSEC2"
"529","CNN2"
"530","CLUH"
"531","SNPH"
"532","TBX1"
"533","KLF16"
"534","NEFH"
"535","CSK"
"536","BRD4"
"537","EPPK1"
"538","EFHD2"
"539","MRPL4"
"540","AL049829.1"
"541","ARID1A"
"542","SRF"
"543","MEX3D"
"544","ZNF706"
"545","CYBA"
"546","HK2"
"547","SCAP"
"548","SERPINB9"
"549","SAPCD2"
"550","SMARCA4"
"551","LYPLA2"
"552","RAVER1"
"553","SKI"
"554","CCDC88C"
"555","FIS1"
"556","MCRIP2"
"557","SLC25A23"
"558","KLHL21"
"559","SMCR8"
"560","SLC27A4"
"561","ADCY7"
"562","MRPS2"
"563","BCOR"
"564","ORAOV1"
"565","TOMM40"
"566","ANKRD13B"
"567","ATP5I"
"568","TSPO"
"569","PCYT2"
"570","TLE3"
"571","TNKS1BP1"
"572","HNRNPA0"
"573","TMEM201"
"574","CPT1A"
"575","MYL5"
"576","ICAM1"
"577","TBRG4"
"578","ABCC1"
"579","REPIN1"
"580","POLR1A"
"581","PRICKLE3"
"582","ZNF792"
"583","GRAMD4"
"584","RRP1"
"585","MINPP1"
"586","D2HGDH"
"587","GTPBP3"
"588","CIB1"
"589","ADAM17"
"590","RUVBL2"
"591","RCSD1"
"592","S100A11"
"593","CHERP"
"594","FGFRL1"
"595","MIDN"
"596","NELFB"
"597","FBRSL1"
"598","SH2D2A"
"599","TRMT2A"
"600","ITPK1"
"601","SPEN"
"602","POM121C"
"603","TRIP6"
"604","VPS37B"
"605","S1PR2"
"606","SSBP4"
"607","DBN1"
"608","RASSF5"
"609","SNX5"
"610","XPO6"
"611","CPNE7"
"612","LSG1"
"613","MAP7D1"
"614","RRP9"
"615","BAHCC1"
"616","NCS1"
"617","TRIP10"
"618","AKAP1"
"619","ZNF778"
"620","VCL"
"621","COMT"
"622","GRSF1"
"623","THUMPD1"
"624","TMEM147"
"625","MNT"
"626","ZMAT3"
"627","TNFRSF21"
"628","SEMA4C"
"629","AGAP1"
"630","TMEM177"
"631","TNFRSF10A"
"632","LUZP1"
"633","SLC25A44"
"634","IL2RG"
"635","LDLR"
"636","ZBTB7A"
"637","PABPN1"
"638","TAOK3"
"639","ZC3H4"
"640","SMARCD2"
"641","ZBED4"
"642","LIAS"
"643","ACACA"
"644","DFFA"
"645","PKP3"
"646","GALM"
"647","POM121"
"648","ECE2"
"649","UXS1"
"650","SPTBN2"
"651","CD320"
"652","CBL"
"653","DHCR7"
"654","FBXO46"
"655","SNTA1"
"656","SRRT"
"657","MS4A3"
"658","NFKB2"
"659","MLLT11"
"660","TOB2"
"661","CIC"
"662","TFAP4"
"663","GIGYF1"
"664","ALYREF"
"665","RASA3"
"666","FHL3"
"667","MRPS26"
"668","MOGS"
"669","NEURL4"
"670","VPS4B"
"671","HDAC3"
"672","PFKFB3"
"673","PHLDA2"
"674","EXTL3"
"675","SLC7A1"
"676","MAPK8"
"677","PKMYT1"
"678","SHMT2"
"679","DPH1"
"680","AP1S1"
"681","TGIF1"
"682","DAB2"
"683","NOSIP"
"684","NOXO1"
"685","DEF6"
"686","RAB31"
"687","PER3"
"688","NFIX"
"689","STAT3"
"690","BNIP2"
"691","SOX12"
"692","WDR74"
"693","LONP1"
"694","TNFRSF10B"
"695","ELF1"
"696","ANKRD63"
"697","LZTS2"
"698","POFUT1"
"699","WAS"
"700","PKN3"
"701","ROR2"
"702","GATAD2A"
"703","POTEE"
"704","GPATCH4"
"705","ACTN1"
"706","PHC2"
"707","PQBP1"
"708","LY6E"
"709","RHOT2"
"710","PTGFRN"
"711","USP36"
"712","RRP7A"
"713","COLGALT2"
"714","CTDSPL"
"715","PHRF1"
"716","FN3KRP"
"717","CCND2"
"718","THOP1"
"719","TEAD3"
"720","RELL2"
"721","CENPB"
"722","NOB1"
"723","NTMT1"
"724","C1orf159"
"725","BATF3"
"726","CECR2"
"727","TFB2M"
"728","GRIN2D"
"729","DCHS2"
"730","SYNGR3"
"731","EHD4"
"732","ZC3H18"
"733","NFATC3"
"734","UBALD1"
"735","AXIN1"
"736","PRKCD"
"737","SLC38A1"
"738","DVL1"
"739","CCDC57"
"740","NCOR2"
"741","IGDCC4"
"742","AURKAIP1"
"743","DDX51"
"744","EBNA1BP2"
"745","MARCKS"
"746","EGR1"
"747","DUS2"
"748","TIMM13"
"749","SNAPC4"
"750","RPUSD1"
"751","ALAS1"
"752","BCL2L1"
"753","LAS1L"
"754","TOMM70"
"755","PRSS57"
"756","CFAP161"
"757","CCAR2"
"758","MBOAT7"
"759","ITPR1"
"760","RAB11FIP5"
"761","ZBTB48"
"762","BMX"
"763","DNAJC1"
"764","RELA"
"765","PLEKHO2"
"766","PHF13"
"767","ARAP3"
"768","SLC19A2"
"769","BEND3"
"770","ZNF777"
"771","MTSS1L"
"772","AIP"
"773","TRIM41"
"774","SRM"
"775","LYL1"
"776","PCDH10"
"777","TRIM8"
"778","TNFRSF12A"
"779","BAIAP2"
"780","C19orf70"
"781","CD99"
"782","CCDC78"
"783","MAP3K3"
"784","INTS10"
"785","ZADH2"
"786","SLC35F6"
"787","NRIP1"
"788","ERCC6"
"789","TBL1X"
"790","EVA1B"
"791","TMEM109"
"792","CCNO"
"793","HIST1H2AC"
"794","DNASE1"
"795","MKL1"
"796","DHRS11"
"797","IKZF3"
"798","METTL13"
"799","BCR"
"800","PWWP2B"
"801","CSTF2"
"802","RENBP"
"803","DDN"
"804","DCTPP1"
"805","GHDC"
"806","RPIA"
"807","LGALS1"
"808","NUDT22"
"809","SAMD11"
"810","JADE2"
"811","DUSP7"
"812","TIMM50"
"813","C12orf45"
"814","SLC9A5"
"815","PIM3"
"816","CBX6"
"817","KANK1"
"818","RUSC2"
"819","SAFB2"
"820","RARA"
"821","RRBP1"
"822","CBX2"
"823","NFKBIB"
"824","CDK10"
"825","SEMA4D"
"826","NLE1"
"827","CFAP57"
"828","FMNL3"
"829","MEGF8"
"830","PFAS"
"831","MRPL2"
"832","NFKBIE"
"833","PRUNE1"
"834","DTX2"
"835","POP7"
"836","HSD11B1L"
"837","NMU"
"838","ADO"
"839","GORASP1"
"840","CDC42BPB"
"841","PPP6R1"
"842","TNFRSF1B"
"843","ID1"
"844","TBP"
"845","CTDSP1"
"846","SIX5"
"847","PRKD2"
"848","CD3D"
"849","DOT1L"
"850","GGA1"
"851","ZFYVE28"
"852","CATSPERB"
"853","RAI1"
"854","PHACTR4"
"855","AVPR2"
"856","TGFBR1"
"857","KDM2B"
"858","C19orf44"
"859","HIC1"
"860","E4F1"
"861","MPV17L2"
"862","DPP9"
"863","MDM1"
"864","FCHO1"
"865","APEH"
"866","SLC52A2"
"867","ISG20L2"
"868","ARPC4"
"869","RASSF3"
"870","ECE1"
"871","AGAP3"
"872","TEX19"
"873","NOC4L"
"874","DCAF4L1"
"875","TBL3"
"876","PUSL1"
"877","C19orf24"
"878","PCSK1N"
"879","LDLRAD2"
"880","MXD1"
"881","GLS"
"882","CTSS"
"883","ACSL4"
"884","METRNL"
"885","CBARP"
"886","BAMBI"
"887","ATF5"
"888","SURF6"
"889","RHOH"
"890","ZFP92"
"891","MRPL10"
"892","FASTKD5"
"893","PDCD1"
"894","NECTIN2"
"895","UHRF1"
"896","KLF13"
"897","ARHGEF1"
"898","BOP1"
"899","ZNF646"
"900","FAM83H"
"901","RUBCN"
"902","ZNF398"
"903","SLC10A4"
"904","RNF166"
"905","C8orf22"
"906","ZBTB17"
"907","ZDHHC8"
"908","RHOC"
"909","PLCL1"
"910","DGKZ"
"911","PLEKHA1"
"912","NAGPA"
"913","NAT10"
"914","SLC25A15"
"915","PKM"
"916","ECM1"
"917","FAM19A2"
"918","FAM129A"
"919","MRI1"
"920","CD96"
"921","SCO1"
"922","SSX2"
"923","EIF3G"
"924","MED25"
"925","DIP2B"
"926","NTRK1"
"927","CEP170B"
"928","BCL9L"
"929","LHFPL2"
"930","SLC9A3R2"
"931","C8orf82"
"932","LPCAT4"
"933","ARL10"
"934","ADAM15"
"935","HDGFL2"
"936","NUFIP1"
"937","CDAN1"
"938","PODXL2"
"939","TC2N"
"940","VAV1"
"941","GAD1"
"942","PIH1D1"
"943","GAGE2D"
"944","TMEM185B"
"945","DBNDD1"
"946","GALE"
"947","MRAP"
"948","BATF2"
"949","QPCTL"
"950","NDUFAF8"
"951","DNAJC12"
"952","CYB561"
"953","ATP5J2"
"954","CEL"
"955","PYURF"
"956","EXOSC5"
"957","TMEM203"
"958","ZNF618"
"959","NOL4L"
"960","TBC1D13"
"961","NAA10"
"962","C11orf68"
"963","ZNHIT2"
"964","HPCAL1"
"965","KM-PA-2"
"966","ZBED6CL"
"967","AMMECR1L"
"968","GMEB1"
"969","TOMM22"
"970","CYP26A1"
"971","PCK2"
"972","S100A16"
"973","MOB3A"
"974","TUBB2A"
"975","PEX5"
"976","PPM1J"
"977","FBXO31"
"978","COX8A"
"979","EPOP"
"980","FGD3"
"981","RABEPK"
"982","SCART1"
"983","TNFRSF1A"
"984","TBL2"
"985","ST6GALNAC6"
"986","RRS1"
"987","ZMYND8"
"988","TEAD2"
"989","AL391650.1"
"990","TBC1D9B"
"991","FAM171A1"
"992","RAB5C"
"993","PDLIM7"
"994","ABHD14B"
"995","TET1"
"996","C11orf24"
"997","SLC25A29"
"998","LRP12"
"999","SMARCA2"
"1000","LSS"
"1001","PELP1"
"1002","STON2"
"1003","VANGL1"
"1004","GP6"
"1005","TACO1"
"1006","RPS29"
"1007","MARS2"
"1008","RNF113A"
"1009","TESMIN"
"1010","DDX28"
"1011","ZNF581"
"1012","PUS1"
"1013","GMFG"
"1014","CTDP1"
"1015","CIDEB"
"1016","TMEM158"
"1017","TMEM99"
"1018","SLC25A32"
"1019","ZNRF3"
"1020","NDUFA1"
"1021","ZKSCAN5"
"1022","SLC25A19"
"1023","C1QTNF12"
"1024","PER2"
"1025","DPH5"
"1026","PYCR3"
"1027","BAK1"
"1028","FBXO27"
"1029","TATDN2"
"1030","IER5L"
"1031","FOSB"
"1032","SLC35B4"
"1033","GFOD1"
"1034","IRF2BP1"
"1035","COQ8A"
"1036","QTRT2"
"1037","FAM58A"
"1038","NOTUM"
"1039","PLXND1"
"1040","SLCO4A1"
"1041","NCKAP5L"
"1042","PSEN2"
"1043","BIN1"
"1044","MSR1"
"1045","TRABD2A"
"1046","OAF"
"1047","SIN3A"
"1048","KIF9"
"1049","PTPN22"
"1050","MAML1"
"1051","P2RY1"
"1052","SPRED2"
"1053","KCNK1"
"1054","TRAPPC12"
"1055","TOMM40L"
"1056","ATG101"
"1057","PDXP"
"1058","EPS8L1"
"1059","LLGL2"
"1060","IGBP1"
"1061","ZNF74"
"1062","ZNF324"
"1063","KLC3"
"1064","GRK3"
"1065","SPATA32"
"1066","BAG4"
"1067","GAN"
"1068","RPUSD3"
"1069","CASKIN1"
"1070","BBC3"
"1071","IFFO2"
"1072","HIP1R"
"1073","PPP1R16A"
"1074","PPP3CA"
"1075","PGAM4"
"1076","RITA1"
"1077","ARL15"
"1078","FLYWCH1"
"1079","CAPN10"
"1080","PDZD8"
"1081","HIVEP1"
"1082","TBC1D10C"
"1083","LONRF2"
"1084","SCRN1"
"1085","POLG2"
"1086","ZBTB45"
"1087","KCNN4"
"1088","CR769776.1"
"1089","YARS2"
"1090","LDLRAD3"
"1091","ETV2"
"1092","TMC8"
"1093","GFER"
"1094","SRCAP"
"1095","RAP1GAP2"
"1096","SPATA2"
"1097","SRPX"
"1098","PSD"
"1099","FAM174B"
"1100","TXNDC5"
"1101","CCM2"
"1102","ARHGAP39"
"1103","ACE2"
"1104","HOXB6"
"1105","ALG2"
"1106","ANKRD13D"
"1107","CDR2L"
"1108","CISD3"
"1109","ZFP36"
"1110","RGP1"
"1111","CFD"
"1112","NRARP"
"1113","SIGMAR1"
"1114","MAST4"
"1115","MISP3"
"1116","ITPRIPL1"
"1117","NTSR1"
"1118","ACVR2B"
"1119","C15orf52"
"1120","ACD"
"1121","HS3ST3B1"
"1122","DLG4"
"1123","DLL3"
"1124","BHLHA15"
"1125","DOK2"
"1126","SFN"
"1127","FSCN2"
"1128","RAB40B"
"1129","GPR3"
"1130","HDHD5"
"1131","PDE4D"
"1132","NPB"
"1133","CERS6"
"1134","MGST1"
"1135","SLC30A1"
"1136","ZNF710"
"1137","TCF7"
"1138","FAM84A"
"1139","CDKN1C"
"1140","ATP23"
"1141","PLCB2"
"1142","PAGR1"
"1143","LPAR5"
"1144","SLC25A41"
"1145","GFOD2"
"1146","B3GALNT2"
"1147","USP2"
"1148","DISP2"
"1149","CCDC114"
"1150","LRRC20"
"1151","ERN1"
"1152","HOMER1"
"1153","DHODH"
"1154","MT1G"
"1155","FNDC3B"
"1156","BCORL1"
"1157","PCED1B"
"1158","SNAI1"
"1159","NTHL1"
"1160","ARHGEF40"
"1161","PARL"
"1162","AKNA"
"1163","TRMT61A"
"1164","MEX3A"
"1165","CALB1"
"1166","PLEKHF1"
"1167","NCKAP1L"
"1168","RIPOR1"
"1169","COMMD5"
"1170","MRPL12"
"1171","MCAT"
"1172","MIF"
"1173","GDPGP1"
"1174","MSX1"
"1175","ECHDC2"
"1176","SLC39A11"
"1177","UBAP1L"
"1178","STK32C"
"1179","SLC29A3"
"1180","ZNF589"
"1181","SURF2"
"1182","GIPR"
"1183","BOLA2B"
"1184","HSD17B1"
"1185","LRGUK"
"1186","CLEC11A"
"1187","SLC25A10"
"1188","IL16"
"1189","HIST1H2BD"
"1190","PIGL"
"1191","CRTC2"
"1192","USP13"
"1193","DDX19A"
"1194","TANGO6"
"1195","SLC2A9"
"1196","GAGE12I"
"1197","SPRED1"
"1198","ABHD11"
"1199","CTU2"
"1200","COX10"
"1201","PHACTR1"
"1202","VGF"
"1203","BUD13"
"1204","ADAT2"
"1205","NPAS1"
"1206","FZD8"
"1207","RPL26"
"1208","NEK6"
"1209","CDK11B"
"1210","KLHL26"
"1211","ARMC7"
"1212","F12"
"1213","ANKRD55"
"1214","SEC24A"
"1215","ZNF584"
"1216","CDIP1"
"1217","RYR3"
"1218","AP1S3"
"1219","SPATA33"
"1220","NFKBIA"
"1221","FOXA2"
"1222","JMJD7"
"1223","APMAP"
"1224","ZNF133"
"1225","GMDS"
"1226","ENPP3"
"1227","SH3D21"
"1228","EEF2"
"1229","TWF2"
"1230","TRIM61"
"1231","DIRAS1"
"1232","HYAL3"
"1233","AC069544.2"
"1234","OR52D1"
"1235","FUT4"
"1236","MTF1"
"1237","ZCWPW1"
"1238","NEK4"
"1239","MMRN2"
"1240","INPP1"
"1241","EIF3C"
"1242","PMP22"
"1243","VDR"
"1244","MOB3B"
"1245","CSNK1E"
"1246","ZBTB24"
"1247","MARVELD1"
"1248","SNX18"
"1249","LGALS9"
"1250","LSM12"
"1251","TUT1"
"1252","PHKA2"
"1253","CAMKK1"
"1254","DBP"
"1255","VCX3B"
"1256","MOCS3"
"1257","NIPAL1"
"1258","FAM156A"
"1259","DIXDC1"
"1260","AEBP2"
"1261","VAV2"
"1262","AP1S2"
"1263","RNF207"
"1264","PAK6"
"1265","MIPEP"
"1266","OCEL1"
"1267","GMIP"
"1268","LINC00694"
"1269","CAMLG"
"1270","C4orf48"
"1271","GEMIN6"
"1272","ZNF668"
"1273","PCGF2"
"1274","BCL9"
"1275","RPS10"
"1276","ZNF85"
"1277","ZFAND4"
"1278","PLAGL1"
"1279","FAM117B"
"1280","PDE2A"
"1281","REN"
"1282","AL121758.1"
"1283","ARID5A"
"1284","LARP1B"
"1285","KIF27"
"1286","ZDHHC16"
"1287","ANKRD50"
"1288","AP5B1"
"1289","PNRC1"
"1290","KCNS3"
"1291","C2CD2"
"1292","ITIH5"
"1293","GRAMD2A"
"1294","LCT"
"1295","FCGBP"
"1296","PLEKHN1"
"1297","FGF5"
"1298","TUBB2B"
"1299","INPP5K"
"1300","USE1"
"1301","TMEM192"
"1302","GAL3ST2"
"1303","ARL17A"
"1304","TSPO2"
"1305","WDR90"
"1306","ZC3H12C"
"1307","ADM5"
"1308","OPRL1"
"1309","C17orf53"
"1310","LRFN1"
"1311","ADGRG3"
"1312","LRRC73"
"1313","AP001931.1"
"1314","SPNS2"
"1315","AHSP"
"1316","DLX1"
"1317","TMEM238"
"1318","TNN"
"1319","RPP14"
"1320","SDC2"
"1321","C3AR1"
"1322","TSHZ1"
"1323","GRIK5"
"1324","IQCF6"
"1325","C17orf51"
"1326","TTC36"
"1327","JMY"
"1328","LPAR2"
"1329","NR4A1"
"1330","NEK11"
"1331","GRAMD2B"
"1332","FAM210A"
"1333","MRPL38"
"1334","NOCT"
"1335","AC051642.1"
"1336","MED17"
"1337","MATR3"
"1338","GNG8"
"1339","YJEFN3"
"1340","HIST1H2BC"
"1341","AACS"
"1342","CCDC74A"
"1343","PAPD5"
"1344","ARMCX4"
"1345","ITPKA"
"1346","PVR"
"1347","CA2"
"1348","MYO1G"
"1349","DGKE"
"1350","EN1"
"1351","DIS3L2"
"1352","APOC1"
"1353","FGFR4"
"1354","FP565260.1"
"1355","PTRH1"
"1356","HIST1H3E"
"1357","PIP5K1A"
"1358","TFPT"
"1359","NAAA"
"1360","PNCK"
"1361","SSC4D"
"1362","PTPRJ"
"1363","EDARADD"
"1364","GABRR1"
"1365","ADARB2"
"1366","BCLAF3"
"1367","BGLAP"
"1368","ARHGEF6"
"1369","CUTC"
"1370","CEP164"
