"","logFC","logCPM","LR","PValue","FDR","change"
"FADS1",-1.14683911083805,8.98569008921527,1039.14512559552,5.56785676085397e-228,1.12364917290794e-223,"DOWN"
"PLEC",-0.557697602170806,9.43162333899435,725.740763652721,7.5569832839938e-160,7.62537398271394e-156,"DOWN"
"ALAS2",1.97596664115195,7.2040896057241,657.188440932029,6.10632658323097e-145,4.10772589253947e-141,"UP"
"DLK1",-2.13525656708246,6.81714209855402,636.093557906337,2.36340628806531e-140,1.19239755748615e-136,"DOWN"
"DIAPH1",-0.436958552861962,9.55632273874305,601.375787159559,8.40533341053912e-133,3.3925606711618e-129,"DOWN"
"LDHA",-0.3747919475281,9.59285033007988,454.526214800492,7.46615187834187e-101,2.51124018428029e-97,"DOWN"
"HBG1",0.460314837324963,9.3874950327706,448.394956520558,1.61219965939882e-99,4.6479716180468e-96,"UP"
"CCND1",-2.35465261649462,5.39783322919635,423.455983903983,4.31735484874924e-94,1.08910672753261e-90,"DOWN"
"SLC7A8",1.81742109063231,6.60139187805856,356.258613538958,1.83768798181531e-79,4.12070901789052e-76,"UP"
"DIRAS3",-1.44240034157814,6.80212373351618,352.093176378827,1.48362663639965e-78,2.95895000568902e-75,"DOWN"
"RELN",1.0651409183149,8.38549411593392,351.926649478216,1.61282642399183e-78,2.95895000568902e-75,"UP"
"FAXDC2",1.45454035983715,6.58486902719206,335.329967810666,6.63652829128405e-75,1.1160981453867e-71,"UP"
"MED16",-1.54185076138408,6.24289988553649,318.941235823979,2.46333896538936e-71,3.8240495123479e-68,"DOWN"
"VIM",-1.29422831850701,7.10220498657859,307.832787728765,6.47653265025649e-69,9.33592181534474e-66,"DOWN"
"MYEOV",-1.70024140754149,6.34970094499057,293.781830556584,7.45671823027507e-66,1.00322687070121e-62,"DOWN"
"ARHGAP22",-1.63722362874095,5.65165192145181,272.736252986037,2.87452282475245e-61,3.62567157039558e-58,"DOWN"
"RHCE",1.50856100873216,5.800715946371,257.833149275494,5.09149498919782e-58,6.0442035515883e-55,"UP"
"RHD",1.5411044026862,5.75132550814373,234.493983359952,6.24194583140087e-53,6.99826160130561e-50,"UP"
"CHD4",-0.288915925231862,9.47258601832782,226.480214570732,3.49119688261122e-51,3.70820233094616e-48,"DOWN"
"TLNRD1",-1.28545944474121,5.86789336433082,222.717954769738,2.3096411111078e-50,2.33054336316332e-47,"DOWN"
"RHAG",0.562434928191785,8.92654755141224,221.565302211895,4.1205637802641e-50,3.9598617928338e-47,"UP"
"SLC39A8",1.14237913066414,6.78346477214788,220.121360878398,8.50965046039476e-50,7.80605708823758e-47,"UP"
"ODC1",-0.277538630928291,9.72984800668268,219.086163649293,1.431253118165e-49,1.25583126859512e-46,"DOWN"
"UBR4",-0.253907473387412,9.63831578466225,207.524487848198,4.76395129453948e-47,4.00588754479589e-44,"NOT"
"BLVRB",0.617368372621951,8.86164032654294,204.064527612033,2.70959509668432e-46,2.18729354584745e-43,"UP"
"IGFBP4",-1.99899280633175,4.61730692403829,200.07832043642,2.00789335220042e-45,1.55851137464448e-42,"DOWN"
"STAT5A",-0.779667816149969,9.17005364737838,194.401528307903,3.48039658240127e-44,2.60140308997926e-41,"DOWN"
"COL18A1",1.03973235995536,8.07169332807948,189.233065687183,4.67453022166807e-43,3.36916765726726e-40,"UP"
"CAVIN2",-1.30353700443511,6.13585333727707,189.102395379928,4.99184533214348e-43,3.47380795337888e-40,"DOWN"
"SERPINF1",1.17904006174476,5.97461392024683,187.087028748523,1.37465904348939e-42,9.24733138555312e-40,"UP"
"EIF4G1",-0.336634943339168,9.83611034172427,183.414548462482,8.70810446599426e-42,5.66897600736226e-39,"DOWN"
"KEL",1.03274791692157,7.63101088947689,182.599317785269,1.31191514052038e-41,8.27367482838805e-39,"UP"
"FAM46C",1.21965640422351,5.75518987305914,180.41932468729,3.92523174496185e-41,2.40045763166894e-38,"UP"
"KCNH2",-0.456949391935772,9.31000156923473,179.657512525535,5.75704484085196e-41,3.41714476274216e-38,"DOWN"
"RNF144A",1.33826743198773,5.39438996042221,177.014697099127,2.17401531705048e-40,1.25353723181131e-37,"UP"
"ESPN",1.7546863726595,5.06435912885858,171.503138979019,3.47435499970378e-39,1.94766550691728e-36,"UP"
"BTG2",1.06214027402671,6.12461405700726,170.801374169853,4.94470887408541e-39,2.69700458886264e-36,"UP"
"BSG",0.231899985623738,9.67939219209271,161.821270628524,4.52622640431584e-37,2.40378355435521e-34,"NOT"
"H3F3A",0.337145864080559,9.22298108685264,160.95729210151,6.99029209110747e-37,3.61720729976e-34,"UP"
"SLC2A3",-0.899525750986175,7.25559961196635,159.913921315925,1.18155929986495e-36,5.96126205764364e-34,"DOWN"
"PTPN7",-1.37920045222849,5.38667823676618,157.04207997865,5.01135185838977e-36,2.46668516717473e-33,"DOWN"
"FASN",-0.593385154380529,10.4271960818476,149.299359139429,2.46663826867492e-34,1.1852196880983e-31,"DOWN"
"SLC25A5",-0.224544107128231,9.80836889875512,148.192891809116,4.30492961735752e-34,2.02041359553238e-31,"NOT"
"EPB41",0.484350868219499,9.04192359461727,147.126874412243,7.36200190096891e-34,3.3766490991694e-31,"UP"
"CAVIN1",-0.775667351874754,8.07891469945865,146.857583113908,8.43071418921146e-34,3.78089429005503e-31,"DOWN"
"SH3BGRL2",0.996595395531499,6.07575436452573,145.54320980638,1.63381651369466e-33,7.16783718758085e-31,"UP"
"RPS3A",0.208337432246234,9.59106691904654,140.771936216586,1.80473040145856e-32,7.74920515570962e-30,"NOT"
"GLUL",-0.316884211475267,9.22394643906959,134.787486236327,3.67468518702612e-31,1.54497545332029e-28,"DOWN"
"H3F3B",-0.248631689502068,9.38327354961466,134.487378645407,4.2742976304758e-31,1.76040000980882e-28,"NOT"
"HMGN2",0.221788146007735,9.46914701036733,134.422760650078,4.41569675576368e-31,1.78226352456134e-28,"NOT"
"GATA2",-0.802968451748588,8.05285694877719,131.772983193123,1.67745804885812e-30,6.63780017333445e-28,"DOWN"
"GSE1",-0.361852032522796,9.08300105523966,128.904694728833,7.11542335897149e-30,2.76146843860391e-27,"DOWN"
"RPL37",-0.216843591348604,9.45452277853087,122.109633902075,2.18428066222707e-28,8.31716378196312e-26,"NOT"
"FECH",0.70297826318019,8.04813788282529,121.068047403894,3.69246901314119e-28,1.37995772507782e-25,"UP"
"KHSRP",-0.323991069734058,9.32752025212223,120.875047342116,4.0697452643779e-28,1.49330053055292e-25,"DOWN"
"NRROS",-1.40456742032689,4.77531359046028,120.150415705797,5.86413359249649e-28,2.11328714339592e-25,"DOWN"
"SSX2B",2.61083462396871,4.09487454042467,118.983638351337,1.05596933619994e-27,3.73868722348264e-25,"UP"
"NOTCH1",-1.15031469287539,5.20229084358683,118.898936377211,1.10203718184247e-27,3.83451937357979e-25,"DOWN"
"TMOD2",1.39890774198642,4.80466061888349,117.925893073019,1.7998875549711e-27,6.156530635063e-25,"UP"
"SLC2A1",0.520451458020581,8.79454875876198,117.833350490873,1.88585560698051e-27,6.34307533407895e-25,"UP"
"TOP2A",0.500339362787599,8.95844401169232,117.020719426975,2.84084274467603e-27,9.28372983949928e-25,"UP"
"SLC25A37",0.667983464440334,8.15192731726134,117.012844890141,2.85214434393219e-27,9.28372983949928e-25,"UP"
"PPOX",0.821437212395689,6.56074256317583,115.908671107035,4.97696594702445e-27,1.59428809169683e-24,"UP"
"MYB",-0.826870229158707,6.78549818362289,114.429112464293,1.04951820597594e-26,3.30942608043756e-24,"DOWN"
"MYC",-0.571980607069084,8.46144674160564,113.955398657787,1.33272734102121e-26,4.13781084140755e-24,"DOWN"
"TUBB1",0.790229846625095,6.72854655585136,112.86578822422,2.30886335890135e-26,7.05987446151337e-24,"UP"
"FAM83A",0.544294257351638,8.49983887314281,111.866465672388,3.82205234181141e-26,1.151236392688e-23,"UP"
"IFITM1",-0.890393883155807,6.74819430680824,111.365278232128,4.92137454502485e-26,1.46056264254627e-23,"DOWN"
"HNRNPM",-0.183248309008475,9.60275505506957,109.650448978685,1.16887523402257e-25,3.41870595620428e-23,"NOT"
"SPN",-0.513715802272571,8.74036630667629,109.493457128787,1.26521458921972e-25,3.64761366072045e-23,"DOWN"
"ACTG1",-0.450968773089171,10.4358097987273,109.180641200795,1.481500129602e-25,4.21100762190113e-23,"DOWN"
"MSN",-0.433100474464149,10.2044328679095,108.62779102251,1.95809860397927e-25,5.48838721207022e-23,"DOWN"
"OAT",0.636913634013008,8.17974176738065,108.521835113596,2.06562159649997e-25,5.71045334780354e-23,"UP"
"STOM",-0.758753492020684,7.01247307248824,108.419162527091,2.17544320145316e-25,5.93278638493598e-23,"DOWN"
"ANKRD52",-0.791068693540073,6.88455906340082,105.203580751737,1.10210546156513e-24,2.9593180084255e-22,"DOWN"
"PLXNA1",-0.693065077506267,7.95405398256326,105.181500615451,1.11445502522342e-24,2.9593180084255e-22,"DOWN"
"STARD8",-0.744670618068927,6.8584964716151,103.461508808176,2.65502572482017e-24,6.95858105877868e-22,"DOWN"
"PKLR",0.610437062277191,8.35763435753497,102.311352914681,4.74465190598347e-24,1.22758743736734e-21,"UP"
"PTBP1",-0.278309784978548,9.99546002727972,101.898669382065,5.84357601922383e-24,1.49277478030324e-21,"DOWN"
"TMSB4X",-0.679794188812075,8.50959247039427,101.612357277153,6.75227492566285e-24,1.70334575343503e-21,"DOWN"
"TUFM",-0.412892816091532,8.98012897456898,101.445477452318,7.34577836126407e-24,1.83018707541568e-21,"DOWN"
"ABCB10",0.733646765104189,7.42061770334049,101.286849850034,7.95823544821373e-24,1.95859938512684e-21,"UP"
"EIF5A",-0.249168899359853,9.96769875377904,101.003853643157,9.18046607306958e-24,2.23218055205563e-21,"NOT"
"ERMAP",0.799396734527736,7.46693586861152,100.431873283591,1.22540182572979e-23,2.94402788631581e-21,"UP"
"STXBP5",-0.821888425747655,7.02122520253845,100.212878199692,1.36866671152567e-23,3.24953681238819e-21,"DOWN"
"MRC2",0.839145579439916,6.46743413970949,99.7736658779418,1.70846884484637e-23,4.00914066951681e-21,"UP"
"NOC2L",-0.407720986274902,9.36761310458577,99.2939930645705,2.1766726736149e-23,5.04913002600256e-21,"DOWN"
"EIF4B",-0.176002942548232,9.56119803978576,98.8566112383709,2.71462327760047e-23,6.22543322332445e-21,"NOT"
"KIFC3",-0.719536513499583,7.32930357344298,98.5968431147218,3.09512238513254e-23,7.01827694992807e-21,"DOWN"
"RAB6B",1.00106198305145,5.3986255768363,98.1217272701158,3.93438191528151e-23,8.82219571469958e-21,"UP"
"SNCG",-0.979661272172932,5.6834726492237,96.5947780428497,8.50723583933775e-23,1.88664314806236e-20,"DOWN"
"YDJC",-0.241537122139404,9.35451278239995,96.5278837302093,8.79957818326243e-23,1.93026399256977e-20,"NOT"
"UBAC1",0.331329554685195,9.20915934255879,95.4221301987824,1.53824464028042e-22,3.33799086940852e-20,"UP"
"CBFA2T3",-0.713558402086733,7.81249990529081,94.4470812095325,2.5173303056818e-22,5.40449392542176e-20,"DOWN"
"KISS1R",-1.17653481317217,5.11171557022011,94.1587559305968,2.91205632240513e-22,6.18612722552188e-20,"DOWN"
"FAM210B",0.688915302508391,7.08529547967653,94.1075801374125,2.98832701566056e-22,6.28202369823392e-20,"UP"
"RCC2",-0.289414166501362,9.16551490572609,93.0165016409974,5.1860137178271e-22,1.07895817360277e-19,"DOWN"
"DDX21",-0.185314771211293,9.46564542008441,92.3444683135935,7.28292980325291e-22,1.49976333019844e-19,"NOT"
"UROD",0.256844434454997,9.2732962042843,91.6000420510857,1.06090756052803e-21,2.1626439877794e-19,"NOT"
"COTL1",-0.701248266360515,7.4976862914183,91.1227682618238,1.35028996836793e-21,2.72502018516333e-19,"DOWN"
"TJP2",0.783406024264637,6.62941169624374,90.5842087900583,1.77269515471819e-21,3.54205553637304e-19,"UP"
"HDAC7",-0.7773265888093,6.9875295611125,90.3462459320138,1.99924604690629e-21,3.95556710515841e-19,"DOWN"
"LCP2",-1.28847977938659,4.54365062768898,89.8215891478003,2.60634601717717e-21,5.10666689054879e-19,"DOWN"
"ABHD2",-0.681044169894689,7.95603333988213,89.4590164254102,3.13057030203047e-21,6.07481146781509e-19,"DOWN"
"ETV4",-0.775770263958914,6.21589614291769,88.92130619858,4.10834646732498e-21,7.89624191019861e-19,"DOWN"
"SCIN",0.895267545836612,5.49813896667135,88.6184998877876,4.78790491326478e-21,9.11553859005627e-19,"UP"
"DMXL2",0.824255889331841,6.68155166849905,88.4778528003664,5.14072260593486e-21,9.69578718788518e-19,"UP"
"KIF21B",-0.740491408170303,6.14121436526087,88.401078624857,5.34416594686306e-21,9.98616786792995e-19,"DOWN"
"YWHAZ",0.168350031570376,9.53971456482277,87.9196065389011,6.81695914000642e-21,1.26213809545385e-18,"NOT"
"SCD",-0.366243376053357,8.89920389701291,87.8523215086553,7.05284130542791e-21,1.29393991258946e-18,"DOWN"
"SORD",0.710528164434767,7.0275522746446,86.5472290609643,1.36439706104956e-20,2.48062135937308e-18,"UP"
"ENDOD1",0.882034645159994,5.60031505424388,86.1679520521899,1.65284649919262e-20,2.9782227857327e-18,"UP"
"FAM129B",-0.816140853012713,6.32815433893717,85.5419328223182,2.26839835317684e-20,4.05119886420017e-18,"DOWN"
"MAP1A",0.71592154848116,6.6598116160272,85.5153367836056,2.29911455118662e-20,4.07003778574537e-18,"UP"
"GUK1",0.543296194863391,8.24982585000148,84.7387921715643,3.40503813554069e-20,5.97539779246493e-18,"UP"
"FLNA",-0.339821114728016,9.69570375171522,84.0344858879946,4.86218968305884e-20,8.45895258567331e-18,"DOWN"
"AMER1",-0.947978844887861,5.19351438657871,83.3595262025722,6.84083540834804e-20,1.17995640492198e-17,"DOWN"
"SH2D1B",-2.06358855777261,3.44528209165422,82.5318834859713,1.03979294299181e-19,1.77831028665404e-17,"DOWN"
"EPOR",0.732764991840616,6.21866648248891,82.3890589261024,1.1177078939055e-19,1.89550109301739e-17,"UP"
"IFITM2",-1.31752424826572,4.41669315362379,82.33897254603,1.14639282511647e-19,1.92794613363963e-17,"DOWN"
"CLIC2",0.866787323715012,5.90154181691363,81.648059955239,1.62611358159862e-19,2.71211555291255e-17,"UP"
"NCL",-0.241242314455458,10.0032238068695,81.0959315205139,2.15022186825837e-19,3.55685471502641e-17,"NOT"
"STARD9",1.06398255901636,5.0182065053833,80.9479858789116,2.31737618157896e-19,3.80219257889797e-17,"UP"
"NAV1",-1.53738905763606,4.18615961249729,80.6284229004588,2.72412883327984e-19,4.43351967616294e-17,"DOWN"
"MATK",-1.10148904709082,4.99002119731069,80.5334366011466,2.858272500663e-19,4.6146237868704e-17,"DOWN"
"MYO3B",-1.71195021309868,4.08370452701745,78.3299733302907,8.71888163639265e-19,1.39647420876222e-16,"DOWN"
"PABPC4",-0.273126914484916,9.11105075552213,78.2823988457418,8.93141365564199e-19,1.41925085814575e-16,"DOWN"
"HBA2",0.491458574804884,8.99159429089487,78.0870121685913,9.86001266818544e-19,1.55456965356758e-16,"UP"
"TMOD1",0.663054099590738,7.38985742207129,77.7723338983842,1.15628434567748e-18,1.80891274264474e-16,"UP"
"ARHGAP6",-0.648431563294915,6.68461980884374,77.1296538266148,1.60095433006136e-18,2.48529687192064e-16,"DOWN"
"RAB27B",-1.59412428215808,3.96564298097356,76.9992386237432,1.71023877700806e-18,2.63468158464119e-16,"DOWN"
"FERMT3",-0.563904089226283,8.38483508947158,76.7680717609103,1.92260877670871e-18,2.93940664566352e-16,"DOWN"
"SYTL4",1.24515788388578,4.66919997374488,76.4709793736416,2.23472987535859e-18,3.39090854245201e-16,"UP"
"GCN1",-0.243411878373226,9.31990816950261,76.3861671394839,2.33279628817707e-18,3.51329566355981e-16,"NOT"
"JAG2",-0.704895761076921,6.5532022674201,76.2250908196359,2.53105267164922e-18,3.78364251604095e-16,"DOWN"
"NUSAP1",0.626180989741604,7.43566817794263,75.8228244183848,3.10293591880357e-18,4.6044374836305e-16,"UP"
"OSBP2",0.645887462212246,7.02184649143875,74.8848897622453,4.98974343238649e-18,7.35021986926948e-16,"UP"
"HNRNPF",-0.26117799074565,9.11378134351875,74.0076068052805,7.78165851244056e-18,1.13798297419973e-15,"NOT"
"FCGR2A",-1.07181867712577,4.98828846997674,73.699538153775,9.09601581186229e-18,1.32062370574959e-15,"DOWN"
"DHFR",0.574245954623549,7.92649198321659,73.2807138510917,1.12461453798637e-17,1.62113185650735e-15,"UP"
"UBE2H",0.762788835938415,5.84293741364982,72.4279972823173,1.73238707354446e-17,2.4795250731348e-15,"UP"
"TMEM173",-1.00758859417988,5.19829534645008,72.2842518411008,1.86328410333774e-17,2.64809411897598e-15,"DOWN"
"STMN1",0.368251180324602,8.89207117307235,72.0985167863448,2.04717566451377e-17,2.88909455143723e-15,"UP"
"FMNL1",-1.18459401500118,4.95087166548373,71.7688892748609,2.41936809781793e-17,3.39064358208776e-15,"DOWN"
"USP20",-0.333038235941316,9.00981702578036,71.5371899354115,2.72081265871783e-17,3.78680829417824e-15,"DOWN"
"ESYT1",-0.40576883396441,8.63794682674457,71.4460428639697,2.84944691234806e-17,3.93867726973261e-15,"DOWN"
"PTPRF",0.85859497620396,5.36697049730444,70.9680264342442,3.63061261228319e-17,4.98431245772021e-15,"UP"
"KIF5A",0.729678234451279,5.96987803689017,70.6203711039745,4.33022516220965e-17,5.90461310801033e-15,"UP"
"SLC30A10",0.759983747121493,5.74072243878954,69.9074203880469,6.21541955464931e-17,8.41834778740791e-15,"UP"
"GYPA",0.821664098922367,6.95381850826345,68.4668420111071,1.29029021459944e-16,1.73595645472208e-14,"UP"
"SPRY4",-1.13221124493245,4.66622684581516,67.9115883327116,1.70993259033223e-16,2.2853079208937e-14,"DOWN"
"SPTA1",0.430483101595274,8.51014903115194,67.8176656199652,1.79335515995087e-16,2.38103292651108e-14,"UP"
"HSPG2",-0.620725220327313,6.96354618193187,66.925339011808,2.81986967979268e-16,3.7194633992089e-14,"DOWN"
"F2RL3",-0.841077746762655,5.41096940536271,66.672477944231,3.20579808244651e-16,4.20105266895149e-14,"DOWN"
"SLC29A1",0.590714097242677,8.00338755065206,66.5227954648919,3.45870634930775e-16,4.50323566679869e-14,"UP"
"FAM102B",0.841355225785997,6.19334818213315,66.3681041418245,3.74107005890909e-16,4.83964967043873e-14,"UP"
"NCOA4",0.434756414255863,8.60835185431593,66.2635206605032,3.94492438137179e-16,5.07086107901045e-14,"UP"
"CD53",-0.849047154707192,5.25715526057592,66.1301096505095,4.22117955665153e-16,5.39162181220156e-14,"DOWN"
"UROS",0.661542508831205,6.02298719211898,65.8657081196858,4.8271774731087e-16,6.12687223803815e-14,"UP"
"SLC4A1",1.26616668198571,4.22355933999414,65.0110031626476,7.44810206032126e-16,9.39438422995896e-14,"UP"
"RPL32",-0.145863295038413,9.68403244115935,64.8666150721105,8.01434569075807e-16,1.00458080984589e-13,"NOT"
"ZNF117",1.02295573519076,4.89059604566774,64.5700266472893,9.31618169405388e-16,1.1605547084426e-13,"UP"
"SLC6A9",0.978405642019939,4.85358531856233,64.4654818375176,9.8238401296884e-16,1.21628783838799e-13,"UP"
"PRKCB",-0.456283392783335,8.30574393767628,63.9210638141892,1.29505561308737e-15,1.59362910534855e-13,"DOWN"
"GSTP1",0.227578581226601,9.32418507774917,63.8928254652803,1.31375220097004e-15,1.60683837380463e-13,"NOT"
"TMEM63B",0.706947165525603,6.9397072993581,63.8620947167829,1.33440598235977e-15,1.62226789939774e-13,"UP"
"CCDC85B",-0.652266572318736,6.64648992351025,63.1155571620241,1.94928425060031e-15,2.35559912942304e-13,"DOWN"
"KRT10",-0.575306102121714,7.15362317818189,62.9710291860806,2.09769416996976e-15,2.51985512167617e-13,"DOWN"
"FAM173A",-0.63985017289202,6.57864422037816,62.7488882793408,2.34814094403362e-15,2.80401375097885e-13,"DOWN"
"PCSK9",-1.54964753408346,3.90803446953277,62.1839066273272,3.1283404915519e-15,3.71370820352994e-13,"DOWN"
"DHRS3",-1.00173309068531,5.03289004774939,62.1657299325078,3.15734924165986e-15,3.72622602607822e-13,"DOWN"
"SREBF1",-0.505433501667296,8.112143102802,62.0870497358452,3.28605329648109e-15,3.85557218466772e-13,"DOWN"
"GYPB",0.893804334088991,5.7167138133965,61.3204077078511,4.85026753815318e-15,5.65799128251267e-13,"UP"
"EGFL7",-0.574422182799365,7.21102194345619,61.1869960515462,5.19032203317204e-15,6.0198786753704e-13,"DOWN"
"NAP1L1",0.360823708710506,9.10459931153649,61.0865802892026,5.46191775075784e-15,6.29868355017394e-13,"UP"
"BNIP3L",0.827987090791027,5.90859377424652,60.5418882221362,7.20293011841618e-15,8.25922344998619e-13,"UP"
"GPI",-0.424935111590524,8.42016798545386,60.4688666516294,7.47514597148837e-15,8.52293338139022e-13,"DOWN"
"DMTN",0.636874333247733,6.17533959445522,60.4544322452899,7.53016204740272e-15,8.53742698194575e-13,"UP"
"AL161784.1",-0.960181973515532,4.90056610809527,60.3895631227813,7.78245210818557e-15,8.77417128465324e-13,"DOWN"
"INSIG1",-0.620963768986234,7.64377259393462,59.8370936205052,1.0304286336988e-14,1.15528223648197e-12,"DOWN"
"SOCS3",-1.04330114084782,4.55764580108502,59.4783788951238,1.23645130520445e-14,1.37860904918956e-12,"DOWN"
"ADGRV1",-0.635484202706521,6.40176882388738,59.3519123522145,1.31851990722037e-14,1.4620357278909e-12,"DOWN"
"MYADM",-0.716512945381216,5.59413773236252,59.0591242375849,1.53004828452109e-14,1.68731718196285e-12,"DOWN"
"LBH",2.01793416972642,2.89349662954067,58.3652303800982,2.17704738639882e-14,2.3877713752671e-12,"UP"
"PCBP1",-0.230277226502495,9.13681624601764,58.0349476303481,2.57502272034253e-14,2.80900181185041e-12,"NOT"
"LAPTM5",-1.22773146205715,4.14049483319206,57.6890427035256,3.07008272443605e-14,3.33103975601311e-12,"DOWN"
"SLC7A5",-0.453256055604514,8.31503517646334,56.7843563271105,4.86319757741777e-14,5.2483524229876e-12,"DOWN"
"FADS2",-0.673738682627413,6.8692495596177,56.7415034087765,4.97033792869625e-14,5.33544626271378e-12,"DOWN"
"PNKD",-0.623381437696458,6.03669854485327,56.0683233702921,6.99958145483473e-14,7.47399753121797e-12,"DOWN"
"PDGFB",-2.76520089305435,1.58627637503803,55.7566630177528,8.2019816091068e-14,8.71179951859918e-12,"DOWN"
"ZNRD1",6.6811952809733,2.02458445832098,55.6404034607628,8.70166789649775e-14,9.19415496435712e-12,"UP"
"NAT8L",-1.05461081651967,4.67003919490726,55.5170286069919,9.26529130490352e-14,9.73868978251343e-12,"DOWN"
"RNASET2",-1.31623129253982,4.31289382043616,55.3779378911556,9.94463577182031e-14,1.03985852078293e-11,"DOWN"
"CCT7",-0.1462329384397,9.44902065833967,55.2230839169034,1.07597659831506e-13,1.11929297580393e-11,"NOT"
"EPB42",1.7330208108838,3.28072710991803,55.0340275739354,1.184610890943e-13,1.22598114821132e-11,"UP"
"GLB1",0.582074902897193,6.52873991383853,54.1000262412825,1.90538719207372e-13,1.96186831241019e-11,"UP"
"HBG2",0.490253223993275,10.8801760717584,53.7786966814801,2.24392651619025e-13,2.29871477275307e-11,"UP"
"SLC1A4",0.679092081038507,5.74223215826038,53.6736754184959,2.36713852363991e-13,2.41268800735237e-11,"UP"
"OGT",0.284822835874795,8.9352258336802,53.3249327504587,2.82695656746223e-13,2.86553181929122e-11,"UP"
"ACSM3",-0.601179550822562,6.46737512156886,53.3160064980715,2.83983134561342e-13,2.86553181929122e-11,"DOWN"
"YPEL5",1.02498173618373,4.44205408036265,53.2248431379549,2.97472781524919e-13,2.98671552435542e-11,"UP"
"FADS3",-0.742014813329768,6.05078136698598,53.1538317289414,3.08423225508997e-13,3.08133124455301e-11,"DOWN"
"RIPOR3",0.598962758362137,6.95312657349047,53.0890024290546,3.18772196423728e-13,3.16098254198744e-11,"UP"
"KLHL17",-0.610988597139936,6.02905956858287,53.0843476828652,3.19528486480075e-13,3.16098254198744e-11,"DOWN"
"BTG1",0.728665319228015,5.62383809718758,53.0245517993931,3.29405141081414e-13,3.24279275715317e-11,"UP"
"PSAP",0.133208587107303,9.51136285702815,52.8996835832084,3.51026094665073e-13,3.43886292059992e-11,"NOT"
"JUND",-0.554666039549887,7.51010836230413,52.8776878150557,3.54979195646445e-13,3.46078992625165e-11,"DOWN"
"FBXL19",-0.54900194404179,6.54352475476833,52.5806392304593,4.12940000500696e-13,4.00651064908872e-11,"DOWN"
"BRI3BP",-0.59145669719549,6.3356067793292,52.4472896419335,4.41952520090513e-13,4.26748507557256e-11,"DOWN"
"DES",-0.981718849989751,4.57273856852019,51.8621700294784,5.95365082907551e-13,5.72145844674156e-11,"DOWN"
"FBXO41",-0.96993470342255,4.62832053789582,51.8237139502664,6.07140746491363e-13,5.80697033409583e-11,"DOWN"
"HNRNPD",-0.298730592010463,8.83680717660634,51.7865602105896,6.18738933172336e-13,5.88998604261835e-11,"DOWN"
"VASP",-0.522737677282595,7.68498766401533,51.7219942695801,6.39424218961147e-13,6.058319325284e-11,"DOWN"
"SLC6A19",-1.84867492085013,3.26324412778507,51.3625132019801,7.67909677616488e-13,7.24167532896184e-11,"DOWN"
"DLGAP5",0.585912424924843,6.16731155636928,51.2702408323493,8.0486560650641e-13,7.55488037437482e-11,"UP"
"TMEM56",0.787793395881657,6.06879549532968,51.0756144528912,8.88755536211443e-13,8.30369235013108e-11,"UP"
"SNAP23",0.52206635349492,7.09261069151016,50.9356701593383,9.54432613812599e-13,8.87622330845717e-11,"UP"
"SLC45A3",1.38790147257279,3.89679380002098,50.866023917489,9.88906447507639e-13,9.1546426684182e-11,"UP"
"WNK4",0.63438973862372,6.75474771825664,50.705587451365,1.07313620590776e-12,9.88902363991983e-11,"UP"
"LGR4",1.01014921193245,4.59476531067173,50.6101736314769,1.1265953138049e-12,1.0334463649044e-10,"UP"
"AGPAT4",0.866791041315883,4.92361199612132,50.5267389248333,1.17552235753462e-12,1.07344871933965e-10,"UP"
"FKBP4",-0.425583525160952,8.29209641593373,50.3593804899829,1.28016714363141e-12,1.16374113178493e-10,"DOWN"
"SLC25A22",-0.574732042415207,5.97492979847573,50.1231491884119,1.44393473446491e-12,1.30672855947248e-10,"DOWN"
"CENPE",0.675135311333768,5.52777247831811,49.7717155854165,1.72715951442362e-12,1.55606277502603e-10,"UP"
"PPP1R16B",-1.16697770773066,4.09869470209113,49.4382090052773,2.04719281046779e-12,1.83619547146891e-10,"DOWN"
"CFL1",-0.122462004935966,9.61084831093316,48.9415316956055,2.63707332582043e-12,2.3548131322293e-10,"NOT"
"ATP5G3",-0.224338939581049,9.29461936649418,48.7867574043225,2.85360054862292e-12,2.53693888421846e-10,"NOT"
"ADD2",0.509484348724237,7.20816263859052,48.5541788793906,3.21288968778368e-12,2.84383012233168e-10,"UP"
"NAB2",-0.808397891234061,4.97565023491238,48.5025097199089,3.29866459232871e-12,2.90700218942295e-10,"DOWN"
"EIF2AK1",0.432186051245743,8.13975633162658,48.4873469327026,3.32426825773881e-12,2.91682859606204e-10,"UP"
"PPARGC1B",-0.66256770777034,5.76671053835042,48.4446953497981,3.39736067834723e-12,2.96805782899245e-10,"DOWN"
"CMAS",0.486237735542334,7.13283040184046,48.2444468269082,3.76262262696464e-12,3.25913607769885e-10,"UP"
"SLC6A6",-0.541568810776577,7.21591285857059,48.2443336349484,3.76283983005715e-12,3.25913607769885e-10,"DOWN"
"ATP1A1",-0.130045523811313,9.74800161951698,47.8552429235619,4.58878321775522e-12,3.95753137254351e-10,"NOT"
"CMBL",-0.473809901342642,7.91142486555188,47.8054036975004,4.70692912407929e-12,4.04215049587422e-10,"DOWN"
"TESC",0.711368476314729,5.74818953666415,47.5454720960991,5.37427477794584e-12,4.59568810566632e-10,"UP"
