"","logFC","logCPM","LR","PValue","FDR","change"
"FTSJ1",-0.0791523474270012,6.03444377440962,0.937713002972525,0.332866693599994,0.734876501506905,"NOT"
"MB21D1",-0.885740954271314,-0.386203373335653,0.93768388373754,0.332874200139933,0.734876501506905,"NOT"
"ABCA5",0.778095418613121,-0.334407047126799,0.937247351101967,0.332986759351512,0.734876501506905,"NOT"
"GLTPD2",0.884706381343463,-0.441409950309268,0.936984785064472,0.333054486026879,0.734876501506905,"NOT"
"NHLRC4",-0.273025893104834,1.88009287282979,0.936713264757127,0.333124541714322,0.734876501506905,"NOT"
"AKR7A3",0.884705349990836,-0.441409950309268,0.936663772451814,0.333137313476511,0.734876501506905,"NOT"
"RRAS2",-0.105217734642517,5.26648926926998,0.93660893460148,0.333151465449237,0.734876501506905,"NOT"
"CHST15",0.774686315691254,-0.334482254840546,0.936350654370679,0.33321813047086,0.734876501506905,"NOT"
"SIRT6",-0.10210867143741,5.55670233429248,0.93625018423414,0.33324406774886,0.734876501506905,"NOT"
"LZIC",-0.0848834025966656,5.6982406895988,0.936152424933241,0.33326930778672,0.734876501506905,"NOT"
"KHDRBS3",-0.811453154868339,-0.55649037272448,0.935984636784463,0.333312634208946,0.734876501506905,"NOT"
"DPY19L3",0.0947447945047382,5.81827983863648,0.935330333263282,0.333481660961099,0.734876501506905,"NOT"
"ST5",0.495717979952264,0.283772042456286,0.934215877043481,0.333769822895013,0.734876501506905,"NOT"
"PIK3R4",-0.0880495858291667,5.6715866012245,0.934025358152392,0.333819118127392,0.734876501506905,"NOT"
"TBC1D17",0.137652771536084,4.78087969341275,0.933624721025288,0.333922811494069,0.734876501506905,"NOT"
"ZNF621",0.0739580868217654,6.23785610341892,0.933478944508598,0.333960552216778,0.734876501506905,"NOT"
"PAGE4",0.41583710020474,0.612492091349748,0.932392393236938,0.334242033855084,0.734876501506905,"NOT"
"TMEM38A",-1.01679107482237,-0.820048240232139,0.932340557972991,0.334255470203215,0.734876501506905,"NOT"
"ZNF670",-0.283217466500799,2.74354741513323,0.931409332357041,0.334496978533185,0.734876501506905,"NOT"
"DNAJB13",0.827307099228293,-0.335099605826382,0.930790767045085,0.334657529031325,0.734876501506905,"NOT"
"ZCCHC2",0.152849033205318,4.26771647392057,0.930648798519578,0.334694391925772,0.734876501506905,"NOT"
"SMTN",0.0979183389767184,5.44213339093083,0.930215796689861,0.334806856723875,0.734876501506905,"NOT"
"PILRB",-0.237830570502155,2.64679585466988,0.929839631904167,0.33490460009413,0.734876501506905,"NOT"
"UBAP2L",-0.0669784580902099,8.23705251034759,0.929791409357939,0.334917133091065,0.734876501506905,"NOT"
"PM20D2",-0.251367399933433,2.55290917516693,0.929607037089841,0.334965057063517,0.734876501506905,"NOT"
"SBNO2",-0.0841381523271625,6.73097583446821,0.929348323298797,0.335032320128235,0.734876501506905,"NOT"
"C5orf22",0.11387838353144,5.62758701096654,0.929018873866433,0.335117999921568,0.734876501506905,"NOT"
"NUDT17",0.271031294482346,2.94061685526844,0.928347004360041,0.335292823634008,0.734876501506905,"NOT"
"FAF1",0.0753293057730809,7.45352527444217,0.928195488051465,0.335332265772935,0.734876501506905,"NOT"
"SYT2",0.41545409669575,0.612604428275022,0.928134468454724,0.335348151911496,0.734876501506905,"NOT"
"TMEM168",0.129085024927909,5.27552652450197,0.927168965568406,0.335599649707198,0.734876501506905,"NOT"
"CCDC6",-0.0753875279847736,6.47988633887059,0.926519125860057,0.335769064513818,0.734876501506905,"NOT"
"PLXNA2",0.368965527536114,0.879852102340791,0.926410619625245,0.335797363507362,0.734876501506905,"NOT"
"FANCA",-0.0656431703993422,7.84556958672035,0.9264007908141,0.33579992707041,0.734876501506905,"NOT"
"CDHR3",0.870392256597447,-0.618252860707759,0.926159815094045,0.335862786860667,0.734876501506905,"NOT"
"SMARCE1",0.115075718055195,5.16738266898482,0.926009139407458,0.335902099414193,0.734876501506905,"NOT"
"TRNP1",-0.470398020156422,0.349804150760742,0.925924864317214,0.335924090180202,0.734876501506905,"NOT"
"AES",-0.0498490507617791,8.55491107232623,0.925656282642656,0.335994186819915,0.734876501506905,"NOT"
"PTS",0.157845228120234,4.12059616959881,0.925348703141159,0.336074485489191,0.734876501506905,"NOT"
"FAM13A",0.175814859248584,4.18813608234591,0.925137313208448,0.336129687194624,0.734876501506905,"NOT"
"IRF6",0.518583858034574,0.216083345026773,0.92511122274454,0.336136501218453,0.734876501506905,"NOT"
"ATP5S",0.138979838689118,4.55105085758884,0.925076763878899,0.336145501093997,0.734876501506905,"NOT"
"KCNT2",0.368650851460516,0.880570897617106,0.92461424750785,0.336266331138838,0.734876501506905,"NOT"
"ZNF195",0.0964554442186744,5.45397968143016,0.924235359111346,0.336365357149846,0.734876501506905,"NOT"
"PI4KB",0.0808149719572756,6.78248120382017,0.923370535951143,0.336591533122692,0.734876501506905,"NOT"
"TNRC6C",0.230019098880106,4.24033996939336,0.923369869671875,0.336591707452297,0.734876501506905,"NOT"
"C5orf30",-0.136268485937845,4.41827826227857,0.923217307403584,0.336631628013545,0.734876501506905,"NOT"
"TULP3",0.180966202443684,3.66837749283926,0.923212395338334,0.336632913445951,0.734876501506905,"NOT"
"PI15",-0.509910347258763,0.28560405717927,0.922991252208924,0.336690790937426,0.734876501506905,"NOT"
"INPP4A",0.121015504783482,5.01446879124496,0.922988734292324,0.336691450002322,0.734876501506905,"NOT"
"BATF",0.337310823357178,1.10643696754174,0.922243342282781,0.336886632462791,0.734876501506905,"NOT"
"ATF7IP",0.105300115641859,5.62326970610591,0.921751814231989,0.337015423090568,0.734876501506905,"NOT"
"FAM166B",-0.996495677232051,-0.618691540730857,0.92160178970496,0.337054745799608,0.734876501506905,"NOT"
"NOL11",0.0680522129022489,6.95881851016443,0.92152788344342,0.337074119522841,0.734876501506905,"NOT"
"PTGER3",0.0863148897063021,5.77963377039467,0.921405304631515,0.337106255517587,0.734876501506905,"NOT"
"APOBEC3D",0.413823922712013,0.613503944271656,0.921178551718404,0.337165713245485,0.734876501506905,"NOT"
"PTPRA",0.0713057072319403,6.79552456160805,0.920544466061095,0.337332053863887,0.734876501506905,"NOT"
"MINDY3",-0.111717128683958,4.96100864710998,0.919181900928588,0.337689870083255,0.734876501506905,"NOT"
"SPATC1L",-0.0718378444130256,6.42940902743335,0.918837799011806,0.337780313430065,0.734876501506905,"NOT"
"ZNF354A",-0.326245844774528,1.18055013480976,0.918661195164729,0.337826744399459,0.734876501506905,"NOT"
"SF3B6",0.0800373447548562,6.22803430112217,0.918015455236873,0.337996588994621,0.734876501506905,"NOT"
"SPDL1",0.0990498114199923,5.58157303722529,0.917281434674847,0.338189792638773,0.734876501506905,"NOT"
"MTRF1",0.160423476355292,4.01687133158673,0.917170293374614,0.338219059377297,0.734876501506905,"NOT"
"RCAN3",0.489750720263993,0.284458162594856,0.91690199054695,0.338289725330839,0.734876501506905,"NOT"
"FYCO1",-0.0891121165032608,5.55160617126708,0.914946951223733,0.338805245162483,0.734876501506905,"NOT"
"DCAF5",0.0881143700477601,5.66144692495705,0.914905834219583,0.338816098535012,0.734876501506905,"NOT"
"JUP",-0.0513663363204452,8.73552193184675,0.914089557324061,0.339031662235868,0.734876501506905,"NOT"
"ZNF891",0.21605939611229,3.62483552838723,0.914070668959767,0.339036652485959,0.734876501506905,"NOT"
"TMX2",-0.0679076003470602,7.2266536802105,0.913688348314054,0.339137681691461,0.734876501506905,"NOT"
"JPT2",0.0663144789665967,7.7107712738282,0.913485638357958,0.339191264725086,0.734876501506905,"NOT"
"ATP2A1",0.193337245461466,3.50826567289821,0.912832289111976,0.339364044271814,0.734876501506905,"NOT"
"RFPL3",1.08474178446985,-0.972014519477225,0.912672172519406,0.339406405478799,0.734876501506905,"NOT"
"HIST1H3H",0.0688281963969193,6.81439204460255,0.912199318270696,0.339531547544139,0.734876501506905,"NOT"
"KCNJ10",1.08164988741962,-0.972046975375658,0.911991309312867,0.339586617282379,0.734876501506905,"NOT"
"SFXN1",0.0748894828401451,7.539616868007,0.91185126257955,0.339623700992856,0.734876501506905,"NOT"
"HNRNPH1",0.0291602536871193,9.1027730309342,0.910959320785253,0.339860010768226,0.734876501506905,"NOT"
"ZPR1",-0.0682936530390465,6.74722078377508,0.910270717610629,0.340042599577943,0.734876501506905,"NOT"
"RAD50",-0.195759270042373,3.62522753484228,0.909836659493747,0.340157761471945,0.734876501506905,"NOT"
"ZNF367",0.117207544906366,4.93939405872573,0.909006690623307,0.340378110344475,0.734876501506905,"NOT"
"FKBP11",-0.25156277148567,3.18071442183718,0.907296780288142,0.340832681255967,0.734876501506905,"NOT"
"TAF5L",-0.08388367992868,5.78525212905852,0.906726901753448,0.340984362114319,0.734876501506905,"NOT"
"ANKRD28",-0.0949839077485496,6.32787194085473,0.906316130312252,0.341093750851447,0.734876501506905,"NOT"
"AAED1",0.168988126928696,4.12665679255047,0.90619960126743,0.341124791226721,0.734876501506905,"NOT"
"SIAH2",0.0774619671390573,6.00310322563286,0.905972415582725,0.341185318657669,0.734876501506905,"NOT"
"TPD52L1",-0.0904820008157868,5.56580192386114,0.90592851594749,0.341197016186039,0.734876501506905,"NOT"
"AGBL3",0.265382886341598,1.8912409020443,0.905850617849546,0.341217774298979,0.734876501506905,"NOT"
"TPM4",0.0685905165579494,6.66826432744563,0.905571421220209,0.341292187975879,0.734876501506905,"NOT"
"CCDC174",0.117311055286374,4.6992507506214,0.905044813319506,0.341432603161336,0.734876501506905,"NOT"
