"","x"
"320","SOHLH2"
"321","FAM102B"
"322","GNAL"
"323","PROCR"
"324","BNIP3L"
"325","RIMS3"
"326","GYPB"
"327","CMPK2"
"328","GYPA"
"329","TMEM56"
"330","SH3GL3"
