"","x"
"327","SMARCD2"
"328","AURKAIP1"
"329","EBNA1BP2"
"330","DBN1"
"331","CCAR2"
"332","THUMPD1"
"333","MCRIP2"
"334","EGR1"
"335","GIGYF1"
"336","FYB1"
"337","NPM3"
"338","LRFN4"
"339","HDAC3"
"340","SRM"
"341","TWNK"
"342","MBOAT7"
"343","LYL1"
"344","SLC8B1"
"345","PPP1R26"
"346","CPNE7"
"347","HIST1H2AC"
"348","KLF16"
"349","EFHD2"
"350","SH3PXD2A"
"351","CIB1"
"352","BCR"
"353","SUSD6"
"354","MTSS1L"
"355","EEF1A2"
"356","LY6E"
"357","NEU3"
"358","NR1D1"
"359","TNKS1BP1"
"360","DOT1L"
"361","KAZN"
"362","SOX18"
"363","BCL2L1"
"364","EXOSC4"
"365","PPP6R1"
"366","DNASE1"
"367","SLC7A1"
"368","MRAS"
"369","TMEM201"
"370","TIMM50"
"371","IQSEC2"
"372","ABCC1"
"373","SNPH"
"374","PFAS"
"375","DNM1"
"376","SNAPC2"
"377","AXIN1"
"378","WDR74"
"379","DFFA"
"380","FRAT2"
"381","FAM43A"
"382","PQBP1"
"383","SNX5"
"384","GABRE"
"385","RRP9"
"386","ZC3H4"
"387","KCNC3"
"388","RFX2"
"389","ADGRE2"
"390","ARHGEF1"
"391","PKM"
"392","NEFH"
"393","ACTN1"
"394","ZMIZ1"
"395","TAF4B"
"396","NNMT"
"397","TULP4"
"398","RPUSD1"
"399","LSG1"
"400","FAU"
"401","PHLDA2"
"402","RASSF5"
"403","AKAP1"
"404","ARHGAP25"
"405","SH2D2A"
"406","SLC52A2"
"407","GRIN2D"
"408","TMUB1"
"409","C4orf32"
"410","PHRF1"
"411","NAT10"
"412","FAM83H"
"413","TRAM2"
"414","TLE3"
"415","EIF3G"
"416","UHRF1"
"417","SERPINB9"
"418","PER1"
"419","NOB1"
"420","TBX1"
"421","MAPK8"
"422","FIS1"
"423","CIC"
"424","RBPMS2"
"425","CPT1A"
"426","PLCH1"
"427","ITPK1"
"428","GRWD1"
"429","NFATC3"
"430","RCSD1"
"431","TBL3"
"432","PDAP1"
"433","ICAM1"
"434","CTXN1"
"435","BAHCC1"
"436","SAFB2"
"437","FHL3"
"438","TOMM70"
"439","TMEM147"
"440","EPPK1"
"441","BMX"
"442","SURF6"
"443","GRSF1"
"444","CD320"
"445","SMCR8"
"446","LSS"
"447","SLC27A4"
"448","TIMM13"
"449","ZBTB7A"
"450","CCDC88C"
"451","MEX3D"
"452","SNTA1"
"453","CBL"
"454","ORAOV1"
"455","RRP7A"
"456","MOGS"
"457","FGFRL1"
"458","AGAP1"
"459","DEF6"
"460","METTL13"
"461","ZNF792"
"462","SCAF1"
"463","PABPN1"
"464","FABP5"
"465","ECE2"
"466","GRAMD4"
"467","USP36"
"468","ANKRD13B"
"469","NOSIP"
"470","TSPO"
"471","PES1"
"472","TRIP10"
"473","UXS1"
"474","DHRS11"
"475","CENPB"
"476","PFKFB3"
"477","GALM"
"478","ADAM17"
"479","PRICKLE3"
"480","MLLT11"
"481","S100A11"
"482","TRIM41"
"483","LIAS"
"484","DPP9"
"485","MINPP1"
"486","ETV6"
"487","ELF1"
"488","AGAP3"
"489","C19orf48"
"490","SAMD11"
"491","CNKSR3"
"492","DCHS2"
"493","D2HGDH"
"494","CHCHD6"
"495","ROR2"
"496","VPS37B"
"497","ZNF778"
"498","MCCC2"
"499","LZTS2"
"500","CARD10"
"501","CDK5R1"
"502","GALE"
"503","ZMAT3"
"504","TAOK3"
"505","NCS1"
"506","ST3GAL1"
"507","NSMF"
"508","LUZP1"
"509","DAB2"
"510","POFUT1"
"511","ZIC2"
"512","GIPC3"
"513","RAB31"
"514","DCTPP1"
"515","SOX12"
"516","TGFBR1"
"517","PKN3"
"518","CABLES1"
"519","SPTBN2"
"520","ZBED4"
"521","SEMA4C"
"522","DGKZ"
"523","TMEM177"
"524","MNT"
"525","ZDHHC8"
"526","NTMT1"
"527","TOB2"
"528","NFKB2"
"529","SLC25A44"
"530","KMT2B"
"531","EXTL3"
"532","DDN"
"533","ZMYND8"
"534","MRPL2"
"535","GPATCH4"
"536","TNFRSF10A"
"537","APEH"
"538","DUSP7"
"539","TNFRSF10B"
"540","ISG20L2"
"541","IL2RG"
"542","ARAP3"
"543","CSTF2"
"544","TMEM109"
"545","MYO16"
"546","SEMA4D"
"547","PER3"
"548","NEURL4"
"549","SNAPC4"
"550","GLS"
"551","TFB2M"
"552","VPS4B"
"553","AP1S1"
"554","FBXO46"
"555","RELA"
"556","MRPS26"
"557","TFAP4"
"558","POTEE"
"559","NMU"
"560","TGIF1"
"561","TNFRSF12A"
"562","LPL"
"563","PEX12"
"564","INTS10"
"565","CBX2"
"566","NOC4L"
"567","PKD1"
"568","MFSD12"
"569","TNFRSF1B"
"570","BOP1"
"571","NOXO1"
"572","RASA3"
"573","DPH1"
"574","NFIX"
"575","BNIP2"
"576","MDC1"
"577","WDR4"
"578","FAM212A"
"579","FN3KRP"
"580","FJX1"
"581","RENBP"
"582","ZNF777"
"583","PCSK1N"
"584","TEAD3"
"585","NRIP1"
"586","DDX51"
"587","COLGALT2"
"588","PHC2"
"589","RHOC"
"590","MED25"
"591","GJD3"
"592","DIP2B"
"593","RELL2"
"594","PIH1D1"
"595","TBL1X"
"596","SYNGR3"
"597","PTGFRN"
"598","RBM19"
"599","RALGAPA2"
"600","EREG"
"601","AP2S1"
"602","E4F1"
"603","APOBR"
"604","RASGRP2"
"605","PLEKHO2"
"606","STC2"
"607","SLC17A7"
"608","CCDC57"
"609","C1orf122"
"610","TBC1D9B"
"611","C19orf24"
"612","LDLRAD2"
"613","WAS"
"614","ARPC4"
"615","PUS1"
"616","MYOM1"
"617","CTDSPL"
"618","FCHO1"
"619","MMP17"
"620","TRIM8"
"621","PELP1"
"622","ZBTB48"
"623","PRKCD"
"624","C1orf159"
"625","MAP3K3"
"626","CECR2"
"627","CCDC78"
"628","ADO"
"629","NLE1"
"630","EHD4"
"631","CD3D"
"632","PDLIM7"
"633","RPTOR"
"634","GGA1"
"635","CBX6"
"636","GORASP1"
"637","DNAJC1"
"638","CCND2"
"639","PHF13"
"640","BEND3"
"641","NFKBIE"
"642","C19orf70"
"643","PWWP2B"
"644","LGALS1"
"645","ITPR1"
"646","PIM3"
"647","RUSC2"
"648","CTDSP1"
"649","UBALD1"
"650","SLC9A5"
"651","POP7"
"652","RNF126"
"653","ANKLE1"
"654","SLC2A14"
"655","PDZD8"
"656","PODXL2"
"657","NDUFA1"
"658","CDK10"
"659","IGSF8"
"660","DUS2"
"661","KDM2B"
"662","SLC35F6"
"663","SLC19A2"
"664","ERCC6"
"665","ZNF74"
"666","FAM19A2"
"667","ZADH2"
"668","EVA1B"
"669","IKZF3"
"670","ALAS1"
"671","MRPL10"
"672","CFAP161"
"673","DTX2"
"674","SIN3A"
"675","RGS16"
"676","BCL2"
"677","BAIAP2"
"678","RPIA"
"679","PHACTR4"
"680","RAB11FIP5"
"681","GHDC"
"682","S1PR2"
"683","MAFF"
"684","BATF2"
"685","NECTIN2"
"686","MKL1"
"687","ATF5"
"688","ZNF646"
"689","IRF3"
"690","C1orf226"
"691","NFKBIB"
"692","HSPA6"
"693","ADAM15"
"694","PRUNE1"
"695","PPP1R16A"
"696","AIP"
"697","ACSL4"
"698","RRBP1"
"699","POLR1B"
"700","HIC1"
"701","JADE2"
"702","HSD11B2"
"703","C12orf45"
"704","LHFPL2"
"705","RUBCN"
"706","FOSL2"
"707","MDM1"
"708","FMNL3"
"709","ECE1"
"710","MRAP"
"711","SLC25A15"
"712","TRIB3"
"713","NUDT22"
"714","MEGF8"
"715","TMEM161A"
"716","ST6GALNAC6"
"717","PLCL1"
"718","CBARP"
"719","RARA"
"720","ZFYVE28"
"721","MPV17L2"
"722","SLC10A4"
"723","SIX5"
"724","PRKD2"
"725","PLCD3"
