"","x"
"324","YPEL2"
"325","FAM20B"
"326","ACAT1"
"327","HSF2"
"328","CEP295"
"329","DEPDC1"
"330","PLEKHH3"
"331","ZNF655"
"332","KNL1"
"333","RNF145"
"334","SLC25A17"
"335","INTS7"
"336","C22orf39"
"337","KDELC2"
"338","NUF2"
"339","DMXL1"
"340","HEMGN"
"341","GLIPR2"
"342","LGALS8"
"343","HOMEZ"
"344","PAGE5"
"345","PLPPR2"
"346","ST3GAL5"
"347","SDCBP"
"348","ZNF512"
"349","RALA"
"350","ANAPC4"
"351","ABO"
"352","MARCH2"
"353","KIAA0319L"
"354","APOL1"
"355","MRPS10"
"356","MLXIPL"
"357","KLHDC8B"
"358","ARHGEF12"
"359","KNTC1"
"360","TMEM200B"
"361","G2E3"
"362","FAM50A"
"363","ACAT2"
"364","LAPTM4B"
"365","VPS13A"
"366","APOBEC3B"
"367","RAB18"
"368","ITGB3BP"
"369","MICAL2"
"370","TSTD2"
"371","GATA5"
"372","PKHD1L1"
"373","ENTPD4"
"374","ASF1B"
"375","RIMS3"
"376","TAF7"
"377","SMC2"
"378","PTGS1"
"379","H2AFV"
"380","VAMP7"
"381","CAMK2A"
"382","TBC1D5"
"383","RBM20"
"384","STARD10"
"385","EIF5A2"
"386","RGS2"
"387","TCEAL7"
"388","KIAA0232"
"389","SCN9A"
"390","RHOT1"
"391","AGBL5"
"392","NOD1"
"393","SH2D1A"
"394","UGCG"
"395","SC5D"
"396","TRAPPC13"
"397","LNPK"
"398","SERPINB6"
"399","HTATIP2"
"400","DNAJC9"
"401","CACFD1"
"402","NDST1"
"403","ST8SIA1"
"404","PBX2"
"405","CCDC34"
"406","NCAPG2"
"407","PIK3AP1"
"408","CEP57L1"
"409","CLK4"
"410","ARHGAP26"
"411","GOLGA1"
"412","CEP68"
"413","ERV3-1"
"414","NT5DC4"
"415","HBE1"
"416","WRN"
"417","PIK3R3"
"418","RAB6A"
"419","EID1"
"420","COPB1"
"421","TMC5"
"422","TSPAN32"
"423","SLC48A1"
"424","ZNF76"
"425","TRIM59"
"426","PRC1"
"427","SLC36A1"
"428","ARHGAP5"
"429","CCDC92"
"430","CA8"
"431","ARVCF"
"432","GCAT"
"433","SH3GL3"
"434","TCN2"
"435","SYNE3"
"436","SORCS1"
"437","CDC27"
"438","ZNF273"
"439","RCBTB1"
"440","TCEANC"
"441","NENF"
"442","RNF217"
"443","SLC22A23"
"444","KIF4A"
"445","ANKRD33B"
"446","CEPT1"
"447","CEP152"
"448","TKFC"
"449","ACHE"
"450","C12orf40"
"451","TIMP1"
"452","PPME1"
"453","KCTD7"
"454","IQGAP3"
"455","LIN7C"
"456","SLFN14"
"457","STK11"
"458","TMEM74B"
"459","SCP2"
"460","CLIC4"
"461","TENM1"
"462","SLC30A9"
"463","C12orf57"
"464","RECQL"
"465","CEP162"
"466","ABCC4"
"467","DHTKD1"
"468","VPS54"
"469","ASPM"
"470","VWA5A"
"471","ENG"
"472","MINDY4"
"473","PSME1"
"474","CTSD"
"475","GALNT6"
"476","TNXB"
"477","GOLGA4"
"478","SMARCAL1"
"479","CD59"
"480","CDKN1B"
"481","CRYAB"
"482","FIGNL1"
"483","PLD3"
"484","PSIP1"
"485","PNPLA8"
"486","ZNF226"
"487","KIF13A"
"488","E2F1"
"489","FAM118A"
"490","CST3"
"491","LRRC71"
"492","SRP14"
"493","GAB1"
"494","PHF20L1"
"495","ARRDC4"
"496","HPS1"
"497","WDHD1"
"498","PARP14"
"499","DEK"
"500","AC119673.1"
"501","ZNF300"
"502","LRRCC1"
"503","CASS4"
"504","C2orf88"
"505","DCP2"
"506","FN3K"
"507","HMMR"
"508","UGP2"
"509","NRBP2"
"510","GALNTL6"
"511","STXBP6"
"512","HIF1A"
"513","NAGK"
"514","LPIN2"
"515","RFX6"
"516","CDC16"
"517","SLCO1A2"
"518","GTPBP2"
"519","ACSL6"
"520","GSTK1"
"521","PDCD4"
"522","AKR1C1"
"523","SPC25"
"524","TMEM219"
"525","TDRKH"
"526","ATP6AP2"
"527","CROT"
"528","CHFR"
"529","AAMDC"
"530","CD226"
"531","SNX2"
"532","ATXN10"
"533","PPP2R2C"
"534","MTURN"
"535","MXRA8"
"536","PHF3"
"537","DCLRE1A"
"538","TRIM33"
"539","SVEP1"
"540","VPS37D"
"541","ASNS"
"542","PXMP4"
"543","AURKA"
"544","DAPP1"
"545","GGNBP2"
"546","CLCN3"
"547","ERAP1"
"548","BRPF3"
"549","ANXA4"
"550","PEX11G"
"551","MAD2L1"
"552","TIA1"
"553","ASRGL1"
"554","FTCD"
"555","HMGCL"
"556","PROCR"
"557","NBAS"
"558","PEAR1"
