"","x"
"326","TOMM40"
"327","ANKRD13B"
"328","ATP5I"
"329","TSPO"
"330","PCYT2"
"331","TLE3"
"332","TNKS1BP1"
"333","HNRNPA0"
"334","TMEM201"
"335","CPT1A"
"336","MYL5"
"337","ICAM1"
"338","RFX2"
"339","TBRG4"
"340","ABCC1"
"341","RGS16"
"342","REPIN1"
"343","POLR1A"
"344","PRICKLE3"
"345","ZNF792"
"346","GRAMD4"
"347","RRP1"
"348","MINPP1"
"349","D2HGDH"
"350","PLCH1"
"351","GTPBP3"
"352","CIB1"
"353","ADAM17"
"354","RUVBL2"
"355","RCSD1"
"356","S100A11"
"357","CHERP"
"358","FJX1"
"359","FGFRL1"
"360","MIDN"
"361","NELFB"
"362","FBRSL1"
"363","SH2D2A"
"364","TRMT2A"
"365","ITPK1"
"366","SPEN"
"367","POM121C"
"368","RBPMS2"
"369","TRIP6"
"370","VPS37B"
"371","S1PR2"
"372","SSBP4"
"373","DBN1"
"374","RASSF5"
"375","SNX5"
"376","XPO6"
"377","CPNE7"
"378","LSG1"
"379","MAP7D1"
"380","RRP9"
"381","BAHCC1"
"382","NCS1"
"383","KCNC3"
"384","FABP5"
"385","MYO16"
"386","TRIP10"
"387","C4orf32"
"388","AKAP1"
"389","ZNF778"
"390","VCL"
"391","COMT"
"392","GRSF1"
"393","THUMPD1"
"394","TMEM147"
"395","MNT"
"396","ZMAT3"
"397","TNFRSF21"
"398","SEMA4C"
"399","AGAP1"
"400","TMEM177"
"401","TNFRSF10A"
"402","LUZP1"
"403","SLC25A44"
"404","IL2RG"
"405","LDLR"
"406","ZBTB7A"
"407","FOSL2"
"408","PABPN1"
"409","TAOK3"
"410","ZC3H4"
"411","SMARCD2"
"412","ZBED4"
"413","LIAS"
"414","ACACA"
"415","FAM212A"
"416","DFFA"
"417","PKP3"
"418","GALM"
"419","CNKSR3"
"420","POM121"
"421","ECE2"
"422","UXS1"
"423","SPTBN2"
"424","CD320"
"425","CBL"
"426","DHCR7"
"427","FBXO46"
"428","SNTA1"
"429","SRRT"
"430","MS4A3"
"431","NFKB2"
"432","MLLT11"
"433","TOB2"
"434","CIC"
"435","TFAP4"
"436","GIGYF1"
"437","ALYREF"
"438","RASA3"
"439","FHL3"
"440","MRPS26"
"441","MOGS"
"442","NEURL4"
"443","VPS4B"
"444","HDAC3"
"445","PFKFB3"
"446","PHLDA2"
"447","EXTL3"
"448","SLC7A1"
"449","MAPK8"
"450","PKMYT1"
"451","SHMT2"
"452","DPH1"
"453","AP1S1"
"454","TGIF1"
"455","DAB2"
"456","NOSIP"
"457","NOXO1"
"458","DEF6"
"459","RAB31"
"460","PER3"
"461","C1orf226"
"462","ZIC2"
"463","NFIX"
"464","STAT3"
"465","SCRT2"
"466","BNIP2"
"467","CARD10"
"468","SOX12"
"469","WDR74"
"470","HSD11B2"
"471","LONP1"
"472","WNT7A"
"473","ST3GAL1"
"474","TNFRSF10B"
"475","ELF1"
"476","ANKRD63"
"477","LZTS2"
"478","POFUT1"
"479","WAS"
"480","PKN3"
"481","ROR2"
"482","GATAD2A"
"483","POTEE"
"484","GPATCH4"
"485","ACTN1"
"486","PHC2"
"487","PQBP1"
"488","LY6E"
