"","x"
"325","TMEM54"
"326","KLHL32"
"327","CKAP2L"
"328","ST3GAL5"
"329","KRBA1"
"330","MAP4K3"
"331","PPME1"
"332","DOCK7"
"333","CASP8AP2"
"334","ULBP2"
"335","COL6A5"
"336","TCF4"
"337","ABRAXAS1"
"338","CARHSP1"
"339","GSTK1"
"340","ULBP1"
"341","KIF4A"
"342","RAB3IP"
"343","PCM1"
"344","ACKR2"
"345","ZDHHC17"
"346","TSTD2"
"347","SLCO1A2"
"348","NUF2"
"349","ANXA5"
"350","KDELC2"
"351","ZNF655"
"352","MYO18B"
"353","DNAJC13"
"354","SH3GL3"
"355","TBC1D1"
"356","ABO"
"357","AGBL5"
"358","HIST1H2AG"
"359","DMXL1"
"360","ASF1B"
"361","CEP295"
"362","TMEM200B"
"363","CD59"
"364","LNPK"
"365","KIAA1551"
"366","CLK4"
"367","AC119673.1"
"368","INTS7"
"369","SOD3"
"370","KIF23"
"371","SMC2"
"372","HSF2"
"373","PARP12"
"374","WRN"
"375","PDE8A"
"376","TIMP1"
"377","SLC25A17"
"378","COPS8"
"379","RPP25"
"380","PTGS1"
"381","ZC3HAV1"
"382","HMMR"
"383","C22orf39"
"384","STARD10"
"385","SPECC1"
"386","EIF5A2"
"387","DEPDC1"
"388","SVEP1"
"389","PSIP1"
"390","PRR11"
"391","ACAT1"
"392","PLEKHH3"
"393","KIAA0319L"
"394","UGP2"
"395","PLPPR2"
"396","CEP162"
"397","CHST3"
"398","ST8SIA1"
"399","LPIN2"
"400","SC5D"
"401","RACGAP1"
"402","MXRA8"
"403","TAF7"
"404","SCP2"
"405","HPCA"
"406","HOMEZ"
"407","FAM118A"
"408","FAM222A"
"409","VPS13A"
"410","CD93"
"411","APOBEC3B"
"412","UGCG"
"413","APOL1"
"414","C12orf57"
"415","PIK3R3"
"416","TSPAN32"
"417","CRYAB"
"418","MARCH7"
"419","PIK3AP1"
"420","SYNE3"
"421","ZNF512"
"422","RAB18"
"423","SLFN14"
"424","G2E3"
