geneID,geneName,KSCr1,KSCr2,KSHr1,KSHr2
ENSG00000170579.16_4,DLGAP1,2,0,8,1
ENSG00000231824.3_3,AKAIN1,0,0,0,0
ENSG00000198081.10_3,ZBTB14,111,104,125,111
ENSG00000082397.17_4,EPB41L3,27,22,31,29
ENSG00000206432.4_2,TMEM200C,0,0,0,0
ENSG00000154655.15_4,L3MBTL4,0,0,0,0
ENSG00000088756.12_2,ARHGAP28,114,94,217,190
ENSG00000101680.14_2,LAMA1,0,0,0,0
ENSG00000206422.2_2,LRRC30,0,0,0,0
ENSG00000173482.16_3,PTPRM,0,0,0,0
ENSG00000268046.1,AP001094.1,0,0,0,0
ENSG00000206418.3_2,RAB12,146,178,164,164
ENSG00000168502.17_3,MTCL1,178,142,151,205
ENSG00000178127.12_3,NDUFV2,25,20,34,17
ENSG00000101745.16_3,ANKRD12,350,386,452,423
ENSG00000128791.11_2,TWSG1,276,300,420,360
ENSG00000017797.12_3,RALBP1,1423,1181,1379,1317
ENSG00000154845.15_2,PPP4R1,1308,1100,1204,1331
ENSG00000168461.12_3,RAB31,913,755,688,733
ENSG00000168454.11_3,TXNDC2,22,19,23,17
ENSG00000101558.13_2,VAPA,3021,2585,2828,2739
ENSG00000154856.12_4,APCDD1,0,0,0,0
ENSG00000134265.12_2,NAPG,591,599,695,645
ENSG00000154864.11_3,PIEZO2,2,0,0,1
ENSG00000236396.8_3,SLC35G4,0,0,0,0
ENSG00000141404.15_3,GNAL,31,37,68,68
ENSG00000255112.2_3,CHMP1B,387,409,428,461
ENSG00000154889.16_3,MPPE1,136,125,139,157
ENSG00000141401.11_2,IMPA2,4,2,5,2
ENSG00000181626.11_2,ANKRD62,1,0,0,0
ENSG00000176194.17_2,CIDEA,0,0,0,0
ENSG00000176014.12_3,TUBB6,2939,2313,3154,3292
ENSG00000141385.9_3,AFG3L2,1904,1477,1734,1718
ENSG00000141391.13_3,PRELID3A,38,34,34,54
ENSG00000134278.15_3,SPIRE1,203,151,162,164
ENSG00000128789.20_3,PSMG2,610,457,567,590
ENSG00000101624.10_3,CEP76,244,219,236,266
ENSG00000175354.18_3,PTPN2,326,354,360,373
ENSG00000085415.15_2,SEH1L,1519,1263,1373,1414
ENSG00000101639.18_3,CEP192,711,612,958,1040
ENSG00000168675.18_3,LDLRAD4,2,0,0,0
ENSG00000177150.12_3,FAM210A,293,253,262,217
ENSG00000101654.17_3,RNMT,697,580,638,650
ENSG00000176136.6_3,MC5R,0,0,0,0
ENSG00000185231.4_3,MC2R,0,0,0,0
ENSG00000175322.11_3,ZNF519,49,51,61,93
ENSG00000183206.17_3,POTEC,0,0,0,0
ENSG00000180777.13_2,ANKRD30B,0,0,0,0
ENSG00000067900.7_3,ROCK1,513,541,626,657
ENSG00000141449.14_3,GREB1L,3,1,0,1
ENSG00000141446.10_2,ESCO1,209,199,251,242
ENSG00000167088.10_3,SNRPD1,1353,1170,1306,1260
ENSG00000158201.9_3,ABHD3,176,170,225,245
ENSG00000101752.11_2,MIB1,833,761,922,917
ENSG00000141448.8_2,GATA6,33,26,55,50
ENSG00000212710.4_4,CTAGE1,0,0,0,0
ENSG00000101773.18_3,RBBP8,392,311,416,397
ENSG00000134508.12_3,CABLES1,102,111,64,53
ENSG00000134490.13_3,TMEM241,277,201,337,276
ENSG00000101782.14_3,RIOK3,1142,1199,1348,1292
ENSG00000141452.9_2,C18orf8,500,423,498,452
ENSG00000141458.12_2,NPC1,800,645,712,775
ENSG00000154065.16_2,ANKRD29,0,0,0,0
ENSG00000053747.15_3,LAMA3,0,0,0,0
ENSG00000168234.12_3,TTC39C,1,0,0,2
ENSG00000154040.20_4,CABYR,0,0,0,0
ENSG00000141447.17_3,OSBPL1A,0,0,0,0
ENSG00000154059.9_3,IMPACT,90,81,104,118
ENSG00000134489.6_2,HRH4,0,0,0,0
ENSG00000198795.10_3,ZNF521,117,94,95,98
ENSG00000141380.13_2,SS18,1173,1075,1419,1463
ENSG00000154611.14_2,PSMA8,0,0,0,0
ENSG00000141384.12_3,TAF4B,367,311,226,254
ENSG00000134504.12_3,KCTD1,0,0,0,0
ENSG00000171885.13_3,AQP4,0,0,0,0
ENSG00000154080.13_3,CHST9,0,0,0,0
ENSG00000170558.8_3,CDH2,0,0,0,0
ENSG00000134762.16_3,DSC3,4,8,7,8
ENSG00000134755.14_3,DSC2,232,210,317,288
ENSG00000134765.9_2,DSC1,4,13,17,24
ENSG00000134760.5_2,DSG1,1,8,3,4
ENSG00000175065.11_2,DSG4,0,0,0,0
ENSG00000134757.4_2,DSG3,0,5,2,6
ENSG00000046604.12_2,DSG2,1361,1215,1272,1288
ENSG00000118271.9_2,TTR,0,0,0,0
ENSG00000118276.11_2,B4GALT6,17,19,34,35
ENSG00000141437.8_2,SLC25A52,0,0,2,2
ENSG00000153339.13_3,TRAPPC8,681,638,749,772
ENSG00000101695.8_3,RNF125,1,0,0,0
ENSG00000134758.13_3,RNF138,638,734,778,736
ENSG00000141441.15_3,GAREM1,4,6,4,4
ENSG00000141434.11_2,MEP1B,1,0,0,0
ENSG00000197705.9_2,KLHL14,0,0,0,0
ENSG00000166960.16_4,CCDC178,1,0,1,0
ENSG00000141431.10_4,ASXL3,0,0,0,0
ENSG00000101746.15_3,NOL4,0,0,0,0
ENSG00000134769.21_4,DTNA,18,11,16,12
ENSG00000166974.12_3,MAPRE2,1214,971,1159,1190
ENSG00000186812.12_3,ZNF397,411,371,347,371
ENSG00000186814.13_3,ZSCAN30,203,209,231,257
ENSG00000172466.15_3,ZNF24,1323,1332,1505,1450
ENSG00000186496.10_3,ZNF396,16,11,25,16
ENSG00000267140.1_4,AC007998.2,0,0,0,0
ENSG00000153391.15_4,INO80C,158,120,165,169
ENSG00000141429.13_3,GALNT1,432,399,454,458
ENSG00000141428.16_3,C18orf21,99,105,142,140
ENSG00000141425.17_3,RPRD1A,855,767,932,935
ENSG00000141424.12_3,SLC39A6,220,221,228,211
ENSG00000134759.13_2,ELP2,999,766,938,1030
ENSG00000075643.5_3,MOCOS,220,190,224,255
ENSG00000134775.15_2,FHOD3,3,12,14,17
ENSG00000134779.14_2,TPGS2,1679,1495,1947,2023
ENSG00000150477.14_4,KIAA1328,39,48,56,43
ENSG00000101489.19_3,CELF4,1,0,0,0
ENSG00000078142.12_3,PIK3C3,287,308,378,345
ENSG00000152214.12_2,RIT2,0,0,0,0
ENSG00000132872.11_2,SYT4,1,0,0,0
ENSG00000152217.16_3,SETBP1,21,12,13,7
ENSG00000132874.14_3,SLC14A2,0,0,0,0
ENSG00000141469.16_3,SLC14A1,0,0,0,0
ENSG00000197046.11_2,SIGLEC15,1,0,0,0
ENSG00000152223.12_3,EPG5,314,271,263,268
ENSG00000152229.18_2,PSTPIP2,432,456,398,417
ENSG00000152234.15_3,ATP5A1,4576,3916,4544,4603
ENSG00000152240.12_2,HAUS1,274,194,280,264
ENSG00000152242.10_3,C18orf25,287,249,306,329
ENSG00000141622.13_3,RNF165,0,0,0,0
ENSG00000167210.16_2,LOXHD1,0,0,0,0
ENSG00000101638.13_3,ST8SIA5,0,0,0,0
ENSG00000078043.15_3,PIAS2,273,204,235,214
ENSG00000167216.16_4,KATNAL2,9,5,15,7
ENSG00000274744.1_3,ELOA3D,0,0,0,0
ENSG00000275553.3_2,ELOA3C,0,0,0,0
ENSG00000278674.1_3,ELOA3B,0,0,0,0
ENSG00000183791.4_3,ELOA3,0,0,0,0
ENSG00000206181.5_3,ELOA2,1,0,0,0
ENSG00000167220.11_3,HDHD2,48,28,65,65
ENSG00000267228.7_4,AC012254.2,0,0,0,0
ENSG00000134049.5_3,IER3IP1,78,99,96,117
ENSG00000215474.7_3,SKOR2,0,0,0,0
ENSG00000175387.15_4,SMAD2,543,457,605,511
ENSG00000184828.9_3,ZBTB7C,0,0,0,0
ENSG00000268960.1,AC091150.1,0,0,0,0
ENSG00000134030.13_3,CTIF,259,166,220,227
ENSG00000101665.8_2,SMAD7,29,21,16,29
ENSG00000141627.13_3,DYM,187,159,247,218
ENSG00000177576.11_3,C18orf32,16,13,11,11
ENSG00000215472.10_3,RPL17-C18orf32,0,0,0,0
ENSG00000265681.7_4,RPL17,34,19,20,16
ENSG00000101670.11_3,LIPG,9,8,13,21
ENSG00000167315.17_3,ACAA2,96,73,129,127
ENSG00000266997.2_4,AC090227.1,0,0,0,0
ENSG00000167306.19_3,MYO5B,2,7,13,8
ENSG00000172361.5_3,CFAP53,40,26,35,26
ENSG00000141644.17_2,MBD1,858,664,793,826
ENSG00000154832.14_2,CXXC1,790,640,647,687
ENSG00000154839.9_3,SKA1,548,485,766,717
ENSG00000141639.11_3,MAPK4,0,0,0,0
ENSG00000134042.12_3,MRO,0,0,1,0
ENSG00000082212.12_2,ME2,372,326,420,394
ENSG00000141642.8_3,ELAC1,33,25,44,25
ENSG00000267699.2_4,AC091551.1,0,0,0,0
ENSG00000141646.13_3,SMAD4,326,293,373,413
ENSG00000176624.10_2,MEX3C,119,100,89,95
ENSG00000187323.11_2,DCC,0,0,0,0
ENSG00000134046.11_2,MBD2,293,270,291,278
ENSG00000101751.10_3,POLI,40,36,54,57
ENSG00000174448.8_2,STARD6,2,0,0,0
ENSG00000166845.13_3,C18orf54,90,87,112,140
ENSG00000178690.2_2,DYNAP,0,0,0,0
ENSG00000041353.9_3,RAB27B,207,193,71,70
ENSG00000166510.13_3,CCDC68,30,42,24,35
ENSG00000196628.15_2,TCF4,333,249,469,404
ENSG00000091164.12_3,TXNL1,601,564,655,664
ENSG00000091157.13_3,WDR7,188,178,193,177
ENSG00000228075.4_3,BOD1L2,0,0,0,0
ENSG00000177511.5_2,ST8SIA3,0,0,0,0
ENSG00000119547.5_3,ONECUT2,245,212,270,275
ENSG00000066926.10_2,FECH,1872,1569,2995,2957
ENSG00000134440.11_3,NARS,1948,1856,2077,2049
ENSG00000081923.11_3,ATP8B1,3,1,11,7
ENSG00000049759.17_3,NEDD4L,474,433,512,494
ENSG00000198796.6_3,ALPK2,0,0,0,7
ENSG00000172175.12_3,MALT1,196,186,332,334
ENSG00000074657.13_3,ZNF532,0,0,0,0
ENSG00000166562.8_2,SEC11C,307,259,289,330
ENSG00000134443.9_3,GRP,0,0,0,0
ENSG00000134438.9_3,RAX,0,0,0,0
ENSG00000166569.8_2,CPLX4,0,0,0,0
ENSG00000074695.5_2,LMAN1,1568,1591,1672,1607
ENSG00000183287.13_4,CCBE1,0,0,0,0
ENSG00000141682.11_2,PMAIP1,160,157,197,164
ENSG00000166603.4_2,MC4R,0,0,0,0
ENSG00000101542.9_2,CDH20,0,0,0,0
ENSG00000176641.10_3,RNF152,0,0,0,0
ENSG00000197563.10_3,PIGN,181,185,255,227
ENSG00000134444.13_3,KIAA1468,166,149,199,199
ENSG00000141655.16_2,TNFRSF11A,0,0,2,0
ENSG00000141664.9_4,ZCCHC2,179,130,168,196
ENSG00000081913.13_3,PHLPP1,257,234,245,283
ENSG00000215431.1,AC015989.1,0,0,0,0
ENSG00000269630.1,AC015989.2,0,0,1,0
ENSG00000171791.12_3,BCL2,105,103,51,75
ENSG00000119537.15_2,KDSR,162,131,131,164
ENSG00000119541.9_3,VPS4B,231,199,150,152
ENSG00000206075.13_3,SERPINB5,0,0,0,0
ENSG00000166634.6_2,SERPINB12,0,0,0,0
ENSG00000197641.11_3,SERPINB13,0,0,0,0
ENSG00000206073.10_3,SERPINB4,0,0,2,0
ENSG00000206072.12_2,SERPINB11,0,0,0,0
ENSG00000057149.15_3,SERPINB3,0,0,0,0
ENSG00000166396.12_3,SERPINB7,0,0,0,0
ENSG00000197632.8_3,SERPINB2,0,0,0,0
ENSG00000242550.5_3,SERPINB10,0,0,0,0
ENSG00000268706.1,AC009802.1,0,0,0,0
ENSG00000221887.5_3,HMSD,0,0,0,0
ENSG00000166401.14_3,SERPINB8,0,0,0,0
ENSG00000081138.13_3,CDH7,0,0,0,0
ENSG00000071991.8_2,CDH19,0,0,0,0
ENSG00000171451.13_3,DSEL,5,0,0,0
ENSG00000166479.9_3,TMX3,266,243,314,297
ENSG00000150636.17_3,CCDC102B,7,3,0,2
ENSG00000206052.10_3,DOK6,0,0,0,0
ENSG00000150637.8_4,CD226,16,16,29,47
ENSG00000176225.13_2,RTTN,157,150,209,220
ENSG00000170677.5_3,SOCS6,119,96,106,121
ENSG00000141668.9_2,CBLN2,0,0,0,0
ENSG00000166342.18_3,NETO1,0,0,0,0
ENSG00000141665.11_4,FBXO15,0,2,0,2
ENSG00000075336.11_3,TIMM21,426,402,406,444
ENSG00000166347.18_3,CYB5A,5,5,4,7
ENSG00000206043.6_2,C18orf63,0,0,0,0
ENSG00000187773.8_3,FAM69C,5,5,0,0
ENSG00000133313.14_3,CNDP2,1471,1204,1255,1391
ENSG00000150656.14_3,CNDP1,0,0,0,0
ENSG00000215421.9_3,ZNF407,155,141,129,144
ENSG00000180011.6_3,ZADH2,454,377,310,365
ENSG00000179981.9_3,TSHZ1,179,208,175,131
ENSG00000206026.7_3,SMIM21,0,0,0,0
ENSG00000101493.10_3,ZNF516,0,0,0,0
ENSG00000130856.15_2,ZNF236,163,131,168,177
ENSG00000197971.14_4,MBP,7,3,0,5
ENSG00000166573.5_3,GALR1,0,0,0,0
ENSG00000256463.8_3,SALL3,0,0,0,0
ENSG00000166377.19_3,ATP9B,165,146,204,219
ENSG00000131196.17_3,NFATC1,243,212,233,217
ENSG00000269679.1,AC018445.1,0,0,0,0
ENSG00000060069.16_2,CTDP1,442,428,363,386
ENSG00000178342.4_2,KCNG2,0,1,1,8
ENSG00000122490.18_2,PQLC1,226,186,188,234
ENSG00000226742.3_2,HSBP1L1,9,10,5,5
ENSG00000141759.14_2,TXNL4A,901,688,732,781
ENSG00000267127.7_4,AC090360.1,1,1,0,3
ENSG00000101546.12_3,RBFA,96,67,98,96
ENSG00000101544.8_2,ADNP2,667,512,600,547
ENSG00000178184.15_2,PARD6G,42,37,33,35
ENSG00000176695.7_3,OR4F17,1,2,0,1
ENSG00000141934.9_3,PLPP2,287,174,209,207
ENSG00000105556.11_3,MIER2,558,424,504,522
ENSG00000105549.10_3,THEG,0,0,0,0
ENSG00000183186.7_2,C2CD4C,0,0,0,5
ENSG00000129946.10_2,SHC2,8,3,31,24
ENSG00000181781.9_2,ODF3L2,5,4,9,8
ENSG00000099866.14_2,MADCAM1,22,11,15,20
ENSG00000141933.9_2,TPGS1,259,166,304,308
ENSG00000099804.8_2,CDC34,1843,1504,1831,1830
ENSG00000197540.7_3,GZMM,4,3,3,2
ENSG00000172270.18_2,BSG,7265,5660,7991,8130
ENSG00000099822.2_2,HCN2,66,49,71,71
ENSG00000099821.13_2,POLRMT,2348,1898,1592,1747
ENSG00000070388.11_2,FGF22,11,9,12,16
ENSG00000070423.17_2,RNF126,1272,987,1056,950
ENSG00000070404.9_3,FSTL3,76,58,71,73
ENSG00000185198.11_2,PRSS57,28,16,5,11
ENSG00000099864.17_3,PALM,120,101,139,161
ENSG00000099812.8_2,MISP,0,0,0,0
ENSG00000011304.19_4,PTBP1,10622,8556,8349,8433
ENSG00000129951.18_3,PLPPR3,261,214,122,146
ENSG00000172232.9_2,AZU1,11,6,0,6
ENSG00000196415.9_2,PRTN3,1,2,0,2
ENSG00000197561.6_2,ELANE,0,0,0,0
ENSG00000197766.7_2,CFD,312,237,242,220
ENSG00000175221.14_4,MED16,1088,851,367,339
ENSG00000198858.9_2,R3HDM4,1891,1515,1836,1952
ENSG00000116014.9_2,KISS1R,424,395,177,209
ENSG00000116017.6,ARID3A,3389,2749,2965,2935
ENSG00000065268.10_3,WDR18,1519,1080,1131,1190
ENSG00000269169.1,AC004528.1,0,0,0,0
ENSG00000116032.5_2,GRIN3B,105,62,76,88
ENSG00000182087.12_4,TMEM259,2678,2083,2246,2360
ENSG00000064666.14_3,CNN2,3308,2575,2419,2563
ENSG00000064687.12_1,ABCA7,2105,1722,2112,2117
ENSG00000180448.10_3,ARHGAP45,613,440,512,499
ENSG00000099817.11_2,POLR2E,3302,2585,2820,2914
ENSG00000167468.16_3,GPX4,1690,1239,1304,1307
ENSG00000064932.15_2,SBNO2,1094,783,947,925
ENSG00000118046.14_3,STK11,2126,1643,2398,2434
ENSG00000099625.12_3,CBARP,197,146,126,117
ENSG00000099624.7_3,ATP5D,2103,1592,1857,1773
ENSG00000167470.12_3,MIDN,1872,1501,1431,1377
ENSG00000099622.13_3,CIRBP,1795,1334,1456,1610
ENSG00000228300.13_3,C19orf24,771,531,531,548
ENSG00000099617.3_2,EFNA2,0,0,0,1
ENSG00000160953.15_3,MUM1,768,564,771,729
ENSG00000115286.19_3,NDUFS7,1565,1174,1434,1486
ENSG00000130005.12_2,GAMT,587,424,588,549
ENSG00000071626.16_3,DAZAP1,3961,3260,3320,3459
ENSG00000115268.9_4,RPS15,9234,6991,8172,8553
ENSG00000115266.11_3,APC2,308,231,297,357
ENSG00000119559.15_3,C19orf25,980,795,769,853
ENSG00000115257.15_1,PCSK4,64,52,62,78
ENSG00000115255.10_4,REEP6,1426,1160,1787,1816
ENSG00000185761.10_2,ADAMTSL5,205,155,187,179
ENSG00000185988.12_4,PLK5,6,0,3,1
ENSG00000181588.16_3,MEX3D,434,368,313,291
ENSG00000071655.17_3,MBD3,1306,1048,1212,1282
ENSG00000267059.2_4,AC005943.1,0,0,0,0
ENSG00000127540.11_3,UQCR11,295,233,270,263
ENSG00000071564.14_3,TCF3,3595,2953,2980,3048
ENSG00000205922.4_2,ONECUT3,0,0,1,1
ENSG00000130270.16_2,ATP8B3,49,42,38,40
ENSG00000079313.13_3,REXO1,1341,984,1058,1096
ENSG00000129911.8_2,KLF16,1069,879,773,825
ENSG00000129968.15_2,ABHD17A,1545,1236,1243,1262
ENSG00000227500.9_1,SCAMP4,603,441,452,502
ENSG00000213638.5_3,ADAT3,133,107,115,121
ENSG00000133275.15_1,CSNK1G2,1855,1570,1528,1618
ENSG00000133243.8_3,BTBD2,282,255,309,294
ENSG00000099875.14_3,MKNK2,1866,1545,1234,1319
ENSG00000172081.13_3,MOB3A,288,260,234,208
ENSG00000099840.13_3,IZUMO4,14,10,22,16
ENSG00000065000.15_3,AP3D1,2265,1800,1896,1995
ENSG00000104885.17_2,DOT1L,2264,1863,1665,1921
ENSG00000104886.11_3,PLEKHJ1,1648,1240,1397,1471
ENSG00000104897.9_4,SF3A2,1325,1082,1083,1100
ENSG00000104899.7_3,AMH,348,292,361,416
ENSG00000167476.10_2,JSRP1,3102,2576,3066,3198
ENSG00000104904.12_4,OAZ1,4735,3898,4944,4955
ENSG00000273734.1_4,AC005258.1,0,0,0,0
ENSG00000188305.5_2,C19orf35,5,9,4,3
ENSG00000220008.3_3,LINGO3,1,4,0,1
ENSG00000130332.14_3,LSM7,1377,1005,1150,1129
ENSG00000005206.16_1,SPPL2B,590,444,534,575
ENSG00000178297.12_2,TMPRSS9,106,71,140,136
ENSG00000099800.7_3,TIMM13,1413,1077,1082,1062
ENSG00000176619.12_3,LMNB2,4432,3501,3404,3582
ENSG00000099860.8_3,GADD45B,7,14,5,6
ENSG00000176533.12_3,GNG7,3,0,4,4
ENSG00000176490.4_3,DIRAS1,321,262,247,267
ENSG00000267001.1_4,AC006538.2,0,0,0,0
ENSG00000141873.10_3,SLC39A3,1373,1121,1230,1203
ENSG00000104969.9_2,SGTA,2443,1992,2006,2095
ENSG00000172009.14_2,THOP1,1885,1421,1331,1450
ENSG00000172006.11_2,ZNF554,13,24,13,26
ENSG00000186300.11_2,ZNF555,52,35,45,75
ENSG00000172000.7_2,ZNF556,0,0,2,0
ENSG00000171970.12_3,ZNF57,48,30,40,38
ENSG00000175691.8_2,ZNF77,79,75,83,81
ENSG00000104953.19_3,TLE6,6,2,4,1
ENSG00000065717.14_3,TLE2,58,53,67,53
ENSG00000104964.14_2,AES,3658,2900,3353,3366
ENSG00000088256.8_2,GNA11,698,551,641,652
ENSG00000060558.3_2,GNA15,2,2,0,1
ENSG00000125910.5_2,S1PR4,0,0,0,2
ENSG00000125912.10_3,NCLN,2690,2131,2125,2213
ENSG00000161082.12_2,CELF5,11,7,9,9
